읍면동,등록주체 시군구,등록주체 대행업체,RFID 내장형,RFID 외장형,RFID 인식표,등록 품종수,동물 소유자수
교동,2,565,277,141,149,47,444
가곡면,0,20,8,12,0,9,13
갈천동,1,74,29,22,24,18,61
건지동,0,125,64,27,35,24,92
근덕면,4,241,89,60,96,30,152
근산동,0,4,2,1,1,3,4
남양동,1,391,157,120,115,35,284
노곡면,0,22,13,8,1,7,8
당저동,0,150,60,29,61,27,114
도경동,0,21,10,11,0,6,11
도계읍,8,344,177,123,52,38,229
등봉동,0,14,7,3,4,6,10
마달동,1,96,49,23,25,19,69
마평동,0,10,3,3,4,4,4
미로면,0,68,23,22,23,20,46
사직동,0,72,36,19,17,18,56
성남동,1,17,8,1,9,6,13
성내동,0,29,7,13,9,10,15
성북동,0,20,7,3,10,11,13
신기면,0,19,12,3,4,8,16
오분동,0,8,1,4,3,6,7
오사동,0,1,1,0,0,1,1
우지동,0,23,7,15,1,11,14
원당동,0,125,57,46,22,21,97
원덕읍,4,169,72,56,45,31,120
읍상동,0,5,2,3,0,2,2
읍중동,0,29,10,9,10,11,20
자원동,0,5,4,1,0,4,4
적노동,1,25,8,3,15,6,15
정상동,3,490,222,142,129,40,378
정하동,0,30,18,2,10,10,20
조비동,0,3,1,0,2,2,2
증산동,0,8,3,3,2,4,7
평전동,0,2,1,1,0,2,2
하장면,2,25,15,10,2,9,21
