종류(RFID),축종,품종,소유정보,승인일,관리기관,전화번호,데이터기준일자
삽입형,개,말티즈,소유,2012-01-16,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2013-02-13,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,기타,2013-02-25,평창군청,033-330-1358,2022-09-19
삽입형,개,푸들,소유,2013-04-09,평창군청,033-330-1358,2022-09-19
삽입형,개,비글,소유,2013-06-27,평창군청,033-330-1358,2022-09-19
삽입형,개,그레이트 피레니즈,사망,2013-06-27,평창군청,033-330-1358,2022-09-19
삽입형,개,푸들,소유,2013-06-27,평창군청,033-330-1358,2022-09-19
인식표,개,토이 푸들,소유,2013-07-03,평창군청,033-330-1358,2022-09-19
인식표,개,토이 푸들,소유,2013-07-03,평창군청,033-330-1358,2022-09-19
인식표,개,토이 푸들,소유,2013-07-03,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,소유,2013-07-10,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2013-07-12,평창군청,033-330-1358,2022-09-19
삽입형,개,슈나우져,소유,2014-11-04,평창군청,033-330-1358,2022-09-19
삽입형,개,푸들,소유,2014-11-04,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,기타,2015-01-10,평창군청,033-330-1358,2022-09-19
삽입형,개,닥스훈트,소유,2015-03-18,평창군청,033-330-1358,2022-09-19
삽입형,개,슈나우져,소유,2015-05-27,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2015-07-23,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-07-23,평창군청,033-330-1358,2022-09-19
삽입형,개,푸들,소유,2015-07-23,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,소유,2015-10-07,평창군청,033-330-1358,2022-09-19
삽입형,개,요크셔 테리어,소유,2015-10-07,평창군청,033-330-1358,2022-09-19
외장형,개,요크셔 테리어,소유,2015-10-07,평창군청,033-330-1358,2022-09-19
외장형,개,치와와,소유,2015-11-30,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2015-12-16,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2015-12-16,평창군청,033-330-1358,2022-09-19
외장형,개,치와와,소유,2015-12-16,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,사망,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,사망,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,보스턴 테리어,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2015-12-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,요크셔 테리어,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,시츄,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,시츄,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,비숑 프리제,사망,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,비숑 프리제,소유,2015-12-18,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2016-01-04,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2016-01-04,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2016-01-05,평창군청,033-330-1358,2022-09-19
삽입형,개,사모예드,소유,2016-01-07,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,코카 스파니엘,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
삽입형,개,푸들,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,비글,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,닥스훈트,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,닥스훈트,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,사망,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,시츄,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-01-15,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2016-01-26,평창군청,033-330-1358,2022-09-19
외장형,개,시츄,소유,2016-01-26,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2016-01-26,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2016-01-26,평창군청,033-330-1358,2022-09-19
삽입형,개,라브라도 리트리버,소유,2016-01-26,평창군청,033-330-1358,2022-09-19
외장형,개,비글,소유,2016-02-22,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-02-22,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-02-22,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-02-22,평창군청,033-330-1358,2022-09-19
삽입형,개,라브라도 리트리버,소유,2016-02-23,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2016-03-21,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-03-21,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-03-23,평창군청,033-330-1358,2022-09-19
삽입형,개,비숑 프리제,소유,2016-03-30,평창군청,033-330-1358,2022-09-19
삽입형,개,사모예드,소유,2016-04-01,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2016-04-15,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2016-04-29,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,소유,2016-07-14,평창군청,033-330-1358,2022-09-19
삽입형,개,로트와일러,소유,2016-08-17,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,소유,2016-08-29,평창군청,033-330-1358,2022-09-19
삽입형,개,셰퍼드,소유,2017-03-15,평창군청,033-330-1358,2022-09-19
삽입형,개,마리노이즈,소유,2017-03-15,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2017-05-18,평창군청,033-330-1358,2022-09-19
삽입형,개,빠삐용,소유,2017-08-20,평창군청,033-330-1358,2022-09-19
외장형,개,요크셔 테리어,소유,2017-10-12,평창군청,033-330-1358,2022-09-19
외장형,개,골든 리트리버,소유,2017-11-21,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2018-01-25,평창군청,033-330-1358,2022-09-19
외장형,개,보스턴 테리어,소유,2018-01-25,평창군청,033-330-1358,2022-09-19
삽입형,개,삽살개,소유,2018-04-30,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,소유,2018-06-22,평창군청,033-330-1358,2022-09-19
삽입형,개,비숑 프리제,소유,2018-08-06,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2018-11-22,평창군청,033-330-1358,2022-09-19
외장형,개,치와와,소유,2018-11-22,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2019-01-23,평창군청,033-330-1358,2022-09-19
삽입형,개,스탠다드 푸들,소유,2019-04-05,평창군청,033-330-1358,2022-09-19
인식표,개,불 테리어,사망,2019-04-24,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2019-06-12,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2019-07-09,평창군청,033-330-1358,2022-09-19
외장형,개,시베리안 허스키,사망,2019-07-10,평창군청,033-330-1358,2022-09-19
외장형,개,요크셔 테리어,소유,2019-07-10,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,스피츠,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,보더 콜리,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,시베리안 허스키,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,비숑 프리제,소유,2019-07-11,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2019-07-14,평창군청,033-330-1358,2022-09-19
외장형,개,풍산견,소유,2019-07-17,평창군청,033-330-1358,2022-09-19
외장형,개,풍산견,소유,2019-07-17,평창군청,033-330-1358,2022-09-19
삽입형,개,아메리칸불리,소유,2019-07-18,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2019-07-19,평창군청,033-330-1358,2022-09-19
외장형,개,잭 러셀 테리어,소유,2019-07-22,평창군청,033-330-1358,2022-09-19
외장형,개,올드 잉글리쉬 쉽독,소유,2019-07-22,평창군청,033-330-1358,2022-09-19
인식표,개,말티즈,소유,2019-07-22,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-07-23,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-07-23,평창군청,033-330-1358,2022-09-19
외장형,개,시베리안 허스키,소유,2019-07-23,평창군청,033-330-1358,2022-09-19
외장형,개,비숑 프리제,소유,2019-07-23,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-07-23,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-07-23,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
외장형,개,풍산견,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
외장형,개,라이카,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
외장형,개,라이카,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2019-07-25,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,사망,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,사망,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,시츄,소유,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-07-31,평창군청,033-330-1358,2022-09-19
외장형,개,라이카,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,웰시 코기 펨브로크,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
외장형,개,닥스훈트,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2019-08-07,평창군청,033-330-1358,2022-09-19
삽입형,개,도베르만,소유,2019-08-16,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2019-08-26,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-26,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-08-26,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-08-26,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-08-26,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-26,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,골든 리트리버,사망,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,비숑 프리제,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
