시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
남양주시,와부읍,82,0,82,0,82,0,0,14,57,1.44,5,2022-08-19
남양주시,진접읍,35,1,34,0,35,0,0,10,32,1.09,6,2022-08-19
남양주시,화도읍,44,0,44,0,44,0,0,13,34,1.29,6,2022-08-19
남양주시,진건읍,12,0,12,0,12,0,0,5,11,1.09,1,2022-08-19
남양주시,오남읍,46,0,46,0,46,0,0,13,38,1.21,3,2022-08-19
남양주시,퇴계원읍,8,0,8,0,8,0,0,6,6,1.33,1,2022-08-19
남양주시,별내면,7,0,7,0,7,0,0,6,6,1.17,1,2022-08-19
남양주시,수동면,8,0,8,0,8,0,0,2,6,1.33,0,2022-08-19
남양주시,조안면,5,0,5,0,5,0,0,1,3,1.67,0,2022-08-19
남양주시,호평동,23,0,23,0,23,0,0,8,18,1.28,3,2022-08-19
남양주시,평내동,24,0,24,0,24,0,0,9,18,1.33,1,2022-08-19
남양주시,금곡동,9,0,9,0,9,0,0,3,7,1.29,2,2022-08-19
남양주시,양정동,3,0,3,0,3,0,0,3,3,1,0,2022-08-19
남양주시,다산동,51,1,50,0,51,0,0,14,36,1.42,9,2022-08-19
남양주시,별내동,22,2,20,0,22,0,0,8,20,1.1,6,2022-08-19
