시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
양주시,남면,370,10,360,0,196,133,41,43,261,1.42,0,2022-07-20
양주시,고암동,1178,12,1166,0,582,518,78,51,877,1.34,1,2022-07-20
양주시,고읍동,753,8,745,0,391,325,37,56,545,1.38,0,2022-07-20
양주시,광사동,915,21,894,0,435,406,74,53,687,1.33,2,2022-07-20
양주시,광적면,768,21,747,0,493,223,52,62,448,1.71,1,2022-07-20
양주시,남방동,83,1,82,0,32,38,13,23,49,1.69,0,2022-07-20
양주시,덕계동,1548,28,1520,0,751,583,214,61,1136,1.36,0,2022-07-20
양주시,덕정동,1184,7,1177,0,581,519,84,60,875,1.35,1,2022-07-20
양주시,마전동,40,3,37,0,19,21,0,17,23,1.74,0,2022-07-20
양주시,만송동,778,7,770,1,382,356,40,46,580,1.34,1,2022-07-20
양주시,백석읍,1730,16,1713,1,986,631,113,68,1217,1.42,1,2022-07-20
양주시,봉양동,66,0,66,0,23,25,18,22,46,1.43,0,2022-07-20
양주시,산북동,170,0,170,0,72,78,20,29,117,1.45,0,2022-07-20
양주시,삼숭동,1346,21,1324,1,613,622,111,65,1020,1.32,0,2022-07-20
양주시,어둔동,28,0,28,0,11,7,10,8,11,2.55,0,2022-07-20
양주시,옥정동,2822,24,2797,1,1287,1264,271,73,2135,1.32,3,2022-07-20
양주시,유양동,80,0,80,0,50,27,3,16,39,2.05,0,2022-07-20
양주시,율정동,39,2,37,0,24,13,2,19,28,1.39,0,2022-07-20
양주시,은현면,311,11,300,0,167,112,32,36,198,1.57,0,2022-07-20
양주시,장흥면,707,19,688,0,394,264,49,56,421,1.68,0,2022-07-20
양주시,회암동,71,7,64,0,50,20,1,21,33,2.15,0,2022-07-20
양주시,회정동,417,0,416,1,191,138,88,41,293,1.42,1,2022-07-20
