시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
의왕시,고천동,171,41,130,,84,48,39,30,141,1.21,2,2021-03-22
의왕시,내손동,1910,289,1621,,987,533,390,69,1473,1.3,2,2021-03-22
의왕시,삼동,927,96,831,,584,243,101,54,704,1.32,0,2021-03-22
의왕시,오전동,1505,305,1200,,756,401,348,56,1202,1.25,2,2021-03-22
의왕시,왕곡동,367,69,298,,202,87,78,35,250,1.47,0,2021-03-22
의왕시,월암동,43,4,39,,16,17,10,19,21,2.05,0,2021-03-22
의왕시,이동,61,8,53,,35,15,11,14,44,1.39,0,2021-03-22
의왕시,청계동,392,45,347,,188,142,62,44,303,1.29,3,2021-03-22
의왕시,초평동,57,14,43,,29,12,16,15,33,1.73,0,2021-03-22
의왕시,포일동,910,95,815,,426,308,176,60,724,1.26,0,2021-03-22
의왕시,학의동,247,33,214,,126,82,39,35,187,1.32,0,2021-03-22
