시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
이천시,율면,123,13,110,0,76,35,12,26,60,2.05,0,2022-08-03
이천시,갈산동,717,56,661,0,393,250,74,54,530,1.35,0,2022-08-03
이천시,고담동,97,10,87,0,43,44,10,30,72,1.35,0,2022-08-03
이천시,관고동,408,30,377,1,205,166,37,41,315,1.3,1,2022-08-03
이천시,단월동,47,8,39,0,27,13,7,17,32,1.47,0,2022-08-03
이천시,대월면,798,80,718,0,402,304,92,54,555,1.44,0,2022-08-03
이천시,대포동,87,8,79,0,56,20,11,18,39,2.23,0,2022-08-03
이천시,마장면,864,92,771,1,455,307,102,61,616,1.4,1,2022-08-03
이천시,모가면,283,21,262,0,187,71,25,41,135,2.1,0,2022-08-03
이천시,백사면,869,90,779,0,428,343,98,60,573,1.51,0,2022-08-03
이천시,부발읍,2092,161,1931,0,1115,793,184,70,1529,1.37,1,2022-08-03
이천시,사음동,291,19,272,0,156,111,24,37,206,1.41,0,2022-08-03
이천시,설성면,316,134,182,0,119,57,140,53,128,2.47,1,2022-08-03
이천시,송정동,779,51,728,0,419,294,66,63,590,1.32,0,2022-08-03
이천시,신둔면,1127,108,1019,0,613,394,120,74,700,1.61,0,2022-08-03
이천시,안흥동,406,34,372,0,224,136,46,45,305,1.33,0,2022-08-03
이천시,율현동,22,2,20,0,14,7,1,9,16,1.38,0,2022-08-03
이천시,장록동,53,8,45,0,21,24,8,21,32,1.66,0,2022-08-03
이천시,중리동,481,36,445,0,259,172,50,48,358,1.34,1,2022-08-03
이천시,증일동,76,0,76,0,35,39,2,19,56,1.36,0,2022-08-03
이천시,증포동,982,53,929,0,490,419,73,52,768,1.28,1,2022-08-03
이천시,진리동,43,2,41,0,26,15,2,14,27,1.59,2,2022-08-03
이천시,창전동,1173,49,1124,0,651,445,77,60,902,1.3,5,2022-08-03
이천시,호법면,315,34,281,0,157,123,35,50,205,1.54,0,2022-08-03
이천시,장호원읍,698,114,584,0,360,217,121,56,431,1.62,1,2022-08-03
