등록번호,영업종류,영업장명칭,지번주소,도로명주소
5350000-045-2008-0001,동물판매업(일반),봉암켄넬,경상남도 김해시 상동면 대감리 176-1 ,경상남도 김해시 상동면 상동로685번안길 39
5350000-045-2008-0003,동물판매업(일반),폴리애견농장,경상남도 김해시 생림면 봉림리 372-1 ,경상남도 김해시 생림면 장재로520번길 68
5350000-045-2009-0001,동물판매업(일반),내사랑 아지,경상남도 김해시 동상동 954-5 ,경상남도 김해시 분성로 343 (동상동)
5350000-045-2009-0005,동물판매업(일반),김해 해피몽,경상남도 김해시 삼정동 634-1 ,경상남도 김해시 활천로36번길 62 (삼정동)
5350000-045-2009-0006,동물판매업(일반),러브멍멍,경상남도 김해시 삼방동 202-4 ,경상남도 김해시 삼안로 200 (삼방동)
5350000-045-2010-0003,동물판매업(일반),애견전문미용,경상남도 김해시 서상동 333-3 ,경상남도 김해시 분성로 308 (서상동)
5350000-045-2010-0004,동물판매업(일반),똥강아지,경상남도 김해시 외동 1255-4 ,"경상남도 김해시 내외중앙로 41, 120호 (외동)"
5350000-045-2010-0008,동물판매업(일반),인터펫코리아,경상남도 김해시 외동 1255-6 109호 ,"경상남도 김해시 내외중앙로 39 (외동,109호)"
5350000-045-2010-0009,동물판매업(일반),꽃개하우스,경상남도 김해시 관동동 467-11 ,경상남도 김해시 덕정로 184 (관동동)
5350000-045-2011-0001,동물판매업(일반),해피애견하우스,경상남도 김해시 진영읍 진영리 1626-1 대흥빌딩 1층 101호 ,경상남도 김해시 진영읍 장등로 9 (대흥빌딩 1층 101호)
5350000-045-2011-0003,동물판매업(일반),총각네애견,경상남도 김해시 관동동 1115-5 ,경상남도 김해시 관동로 145 (관동동)
5350000-045-2011-0004,동물판매업(일반),우쮸쮸,경상남도 김해시 외동 1187-21 ,경상남도 김해시 우암로 29-1 (외동)
5350000-045-2012-0001,동물판매업(일반),DOG&CAT,경상남도 김해시 삼문동 133-4 ,경상남도 김해시 능동로 57 (삼문동)
5350000-045-2013-0003,동물판매업(일반),해강아지 달고양이,경상남도 김해시 부곡동 1157-6 ,경상남도 김해시 장유면 월산로 60
5350000-045-2013-0007,동물판매업(일반),주주클럽,경상남도 김해시 동상동 954-5 ,경상남도 김해시 분성로 343 (동상동)
5350000-045-2013-0009,동물판매업(일반),롯데마트장유점,경상남도 김해시 대청동 300 ,경상남도 김해시 장유면 번화1로56번길 15
5350000-045-2014-0001,동물판매업(일반),러브펫,경상남도 김해시 삼계동 1501-2 ,경상남도 김해시 삼계중앙로 22 (삼계동)
5350000-045-2014-0002,동물판매업(일반),위즈펫동물병원,경상남도 김해시 부원동 959 ,경상남도 김해시 김해대로 2330 (부원동)
5350000-045-2015-0001,동물판매업(일반),펫존 애견용품 할인마트,경상남도 김해시 율하동 1372-5 ,경상남도 김해시 율하2로 248 (율하동)
5350000-045-2015-0004,동물판매업(일반),강아지를 부탁해,경상남도 김해시 관동동 471-4 ,경상남도 김해시 대청로26번안길 29-9 (관동동)
5350000-045-2015-0009,동물판매업(일반),Rolley Pups,경상남도 김해시 내동 152-2 ,경상남도 김해시 금관대로 1333 (내동)
5350000-045-2015-0010,동물판매업(일반),탄이네 강아지,경상남도 김해시 율하동 1365-10 ,경상남도 김해시 율하2로126번길 10-14 (율하동)
5350000-045-2015-0012,동물판매업(일반),품이네 애견방,경상남도 김해시 부곡동 805-1 ,경상남도 김해시 월산로 103 (부곡동)
5350000-045-2016-0001,동물판매업(일반),지오불독,경상남도 김해시 관동동 474-15 ,경상남도 김해시 덕정로204번길 30-1 (관동동)
5350000-045-2016-0004,동물판매업(일반),금관대로 애견센터,경상남도 김해시 내동 1097-1 ,경상남도 김해시 금관대로 1290 (내동)
5350000-045-2016-0007,동물판매업(일반),로얄 수족관,,경상남도 김해시 전하로304번길 24 (외동)
5350000-045-2016-0015,동물판매업(일반),버드펫,경상남도 김해시 봉황동 343 ,경상남도 김해시 분성로 264-11 (봉황동)
5350000-045-2016-0016,동물판매업(일반),야베스주사랑켄넬,경상남도 김해시 생림면 마사리 655-3 ,경상남도 김해시 생림면 마사로473번길 27-11
5350000-045-2016-0017,동물판매업(일반),귀염이,경상남도 김해시 한림면 장방리 572-2 ,경상남도 김해시 한림면 한림로515번길 121-12
5350000-045-2017-0003,동물판매업(일반),퍼스트독,경상남도 김해시 서상동 331-2 ,경상남도 김해시 분성로 290 (서상동)
5350000-045-2017-0004,동물판매업(일반),나비야,경상남도 김해시 관동동 447-10 ,경상남도 김해시 덕정로4번길 37-4 (관동동)
5350000-045-2017-0006,동물판매업(일반),킹덤농장,경상남도 김해시 한림면 용덕리 1023-15 ,경상남도 김해시 한림면 용덕로114번길 35
5350000-045-2017-0007,동물판매업(일반),야옹아 멍멍해봐,경상남도 김해시 대청동 302-1 ,경상남도 김해시 번화1로 46 (대청동)
5350000-045-2018-0032,동물판매업(일반),가필드캣,경상남도 김해시 외동 1094-3 ,경상남도 김해시 금관대로 1140 (외동)
5350000-045-2018-0036,동물판매업(일반),가필드캣,경상남도 김해시 외동 1094-3 ,경상남도 김해시 금관대로 1140 (외동)
5350000-045-2018-0104,동물판매업(일반),하이독,경상남도 김해시 서상동 190-11 ,경상남도 김해시 가락로 114 (서상동)
5350000-045-2018-0112,동물판매업(일반),펫존 애견용품 할인마트,경상남도 김해시 율하동 1372-5 ,"경상남도 김해시 율하2로 248, 101동 (율하동)"
5350000-045-2019-0015,동물판매업(일반),도그어바웃,경상남도 김해시 삼방동 202-4 ,경상남도 김해시 삼안로 200 (삼방동)
5350000-045-2020-0014,동물판매업(일반),엔젤인독스,경상남도 김해시 진영읍 여래리 969-1 ,"경상남도 김해시 진영읍 본산로 15-17, 1층 118호"
5350000-045-2021-0006,동물판매업(일반),마린렙타일,경상남도 김해시 삼정동 603-12 ,"경상남도 김해시 김해대로2491번길 17, 지하1층 (삼정동)"
5350000-045-2021-0026,동물판매업(일반),Fabulous Bully Camp,경상남도 김해시 상동면 대감리 347-22 ,경상남도 김해시 상동면 상동로685번길 76-39
5350000-045-2021-0027,동물판매업(일반),도그하우스,경상남도 김해시 삼계동 1490-6 ,경상남도 김해시 해반천로144번길 10(삼계동)
5350000-045-2021-0036,동물판매업(일반),퍼피가든,경상남도 김해시 대청동 61-6 다인메디컬센타 ,"경상남도 김해시 번화1로79번길 4, 다인메디컬센타 101-2호 (대청동)"
5350000-045-2022-0005,동물판매업(일반),개용실,경상남도 김해시 구산동 1070-5 ,경상남도 김해시 구산로 35(구산동)
5350000-045-2022-0006,동물판매업(일반),유앤미펫 강아지 고양이 분양 김해점,경상남도 김해시 대성동 148-3 ,"경상남도 김해시 구지로 144, 1층 (대성동)"
5350000-045-2022-0007,동물판매업(일반),패러그린샵,경상남도 김해시 관동동 1103-3 ,"경상남도 김해시 율하카페길 85-10, 1층 (관동동)"
5350000-045-2022-0008,동물판매업(일반),베베몽,경상남도 김해시 대청동 61-6 다인메디컬센타 ,"경상남도 김해시 번화1로79번길 4, 다인메디컬센타 101-1호 (대청동)"
5350000-045-2022-0009,동물판매업(경매 알선ㆍ중개),코카갤러리 부산,경상남도 김해시 상동면 매리 238-11 ,경상남도 김해시 상동면 상동로 885
5350000-046-2022-0001,동물수입업,코카갤러리 부산,경상남도 김해시 상동면 매리 238-11 ,"경상남도 김해시 상동면 상동로 885, 2층"
5350000-047-2018-0002,동물전시업,댕포유,경상남도 김해시 내동 1144-3 ,"경상남도 김해시 내외중앙로 60, 13층 (내동)"
5350000-047-2018-0014,동물전시업,나비야,경상남도 김해시 관동동 447-10 ,경상남도 김해시 덕정로4번길 37-4 (관동동)
5350000-047-2018-0082,동물전시업,도그타운,경상남도 김해시 진영읍 진영리 1604-1 ,경상남도 김해시 진영읍 김해대로349번길 4-2
