연번,병원명,주소,개설일,병원연락처,출장진료 전문병원 해당 여부,반려동물,소,돼지,가금,사슴,말,양-염소,꿀벌,수생동물,야생동물,기타
1,제일동물병원,충청북도 청주시 상당구 석교동 245번지 ,1976-11-10,043-256-3309,N,Y,Y,N,N,N,N,N,N,N,N,N
2,한국동물병원,충청북도 청주시 상당구 상당로 15-1 (남문로1가),1980-07-30,043-221-3815,N,Y,Y,N,N,N,N,N,N,N,N,N
3,우리동물병원,충청북도 청주시 상당구 중고개로 305 (금천동),2004-07-07,043-223-7582,N,Y,N,N,N,N,N,N,N,N,N,N
4,세림동물병원,충청북도 청주시 상당구 산성로116번길 25 상가동 101호 (용담동 부영아파트5단지),2004-07-28,043-286-7582,N,Y,N,N,N,N,N,N,N,N,N,N
5,도도동물병원,충청북도 청주시 상당구 월평로 151-1 (용암동),2004-09-03,043-294-8855,N,Y,N,N,N,N,N,N,N,N,N,N
6,이즈동물병원,충청북도 청주시 상당구 용암북로 154 (용암동),2005-03-14,043-293-0075,N,Y,N,N,N,N,N,N,N,N,N,N
7,명성동물병원,충청북도 청주시 상당구 미원면 미원시내2길 39,2008-07-07,043-283-7583,N,Y,Y,N,N,N,N,N,N,N,N,N
8,청주랜드관리사업소,충청북도 청주시 상당구 명암로 171 (명암동),2010-07-15,043-201-4883,N,Y,N,N,N,N,N,N,N,N,Y,Y
9,협성동물병원,충청북도 청주시 상당구 남일면 단재로 509,2012-10-04,043-237-3319,Y,Y,Y,N,N,N,N,N,N,N,N,N
10,24시청주 나음동물메디컬,충청북도 청주시 상당구 1순환로 1233,2018-03-14,043-716-1275,N,Y,N,N,N,N,N,N,N,N,N,N
11,엘케이동물의료센터,충청북도 청주시 상당구 중고개로 191 (용암동),2016-03-14,043-288-7599,N,Y,N,N,N,N,N,N,N,N,N,N
12,가까운동물병원,충청북도 청주시 서원구 1순환로 1109 (분평동),1993-03-10,043-288-7533,N,Y,N,N,N,N,N,N,N,N,N,N
13,그린동물병원,충청북도 청주시 서원구  사직대로 255 (사직동),1994-03-16,043-275-7575,N,Y,N,N,N,N,N,N,N,N,N,N
14,한빛동물병원,충청북도 청주시 서원구 사직대로 147,1999-05-08,043-277-7582,N,Y,N,N,N,N,N,N,N,N,N,N
15,와와동물병원,충청북도 청주시 서원구 사직대로 247-1 (사직동),2000-08-31,043-273-7582,N,Y,N,N,N,N,N,N,N,N,N,N
