법정동명,(등록주체)시군구,(등록주체)대행업체,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,동물소유자수,동물소유자당 동물등록수,데이터 기준일자
검단동,2,282,1,82,174,29,38,228,1.25,2022-07-31
관음동,9,936,0,339,529,77,57,725,1.3,2022-07-31
구암동,12,1733,1,636,940,170,60,1419,1.23,2022-07-31
국우동,2,804,0,288,443,75,53,597,1.35,2022-07-31
금호동,6,67,0,35,33,5,23,47,1.55,2022-07-31
노곡동,1,61,0,18,40,4,17,44,1.41,2022-07-31
대현동,7,795,0,309,418,75,52,619,1.3,2022-07-31
도남동,1,14,0,4,7,4,11,10,1.5,2022-07-31
동변동,2,596,0,128,423,47,48,466,1.28,2022-07-31
동천동,22,1336,0,525,707,126,57,1077,1.26,2022-07-31
동호동,0,8,0,3,4,1,5,7,1.14,2022-07-31
매천동,5,545,0,193,315,42,31,448,1.23,2022-07-31
복현동,15,1429,0,478,777,189,67,1175,1.23,2022-07-31
사수동,9,713,0,249,406,67,46,548,1.32,2022-07-31
산격동,33,2001,1,580,1187,268,70,1545,1.32,2022-07-31
서변동,9,771,0,218,513,49,45,603,1.29,2022-07-31
연경동,2,227,0,88,118,23,33,170,1.35,2022-07-31
읍내동,12,1568,0,532,882,166,65,1212,1.3,2022-07-31
조야동,1,79,0,26,44,10,21,60,1.33,2022-07-31
침산동,12,1886,2,686,1049,165,64,1498,1.27,2022-07-31
태전동,22,2440,0,816,1439,207,77,1888,1.3,2022-07-31
팔달동,1,233,0,63,141,30,35,181,1.29,2022-07-31
학정동,9,631,0,236,335,69,44,466,1.37,2022-07-31
고성동1가,0,48,0,6,39,3,16,44,1.09,2022-07-31
고성동2가,1,95,0,40,53,3,22,72,1.33,2022-07-31
고성동3가,0,99,0,34,57,8,23,81,1.22,2022-07-31
노원동1가,1,142,0,44,87,12,27,116,1.23,2022-07-31
노원동2가,2,286,0,100,168,20,27,210,1.37,2022-07-31
노원동3가,1,198,0,73,99,27,30,152,1.31,2022-07-31
칠성동1가,0,30,0,11,18,1,13,26,1.15,2022-07-31
칠성동2가,8,1017,1,394,528,104,51,798,1.29,2022-07-31
