연번,사업장명칭,소재지주소(도로명),데이터기준일자
1,쥬쥬펫살롱,부산광역시 강서구 신호산단4로64번가길 41 (신호동),2022-08-26
2,해옴동물병원,부산광역시 강서구 명지오션시티4로 69  201호 (명지동),2022-08-26
3,홍's살롱,부산광역시 강서구 명지오션시티4로 73  302호 (명지동),2022-08-26
4,이로운동물병원,부산광역시 강서구 명지국제11로 35  101호 (명지동),2022-08-26
5,오션시티동물병원,부산광역시 강서구 명지오션시티11로 66  203호 (명지동),2022-08-26
6,국제동물병원,부산광역시 강서구 명지국제8로 243  205호 (명지동),2022-08-26
7,네오메디컬동물병원,부산광역시 강서구 명지국제6로 234  1층 (명지동),2022-08-26
8,달콤한 강아지,부산광역시 강서구 명지오션시티10로 114  115동 1층 105호 (명지동  명지오션시티삼정그린코아),2022-08-26
9,도기누리,부산광역시 강서구 명지국제6로 222  서하빌딩 2층 201호 (명지동),2022-08-26
10,명지종합동물병원,부산광역시 강서구 명지오션시티11로 74  2층 204호 (명지동),2022-08-26
11,도기살롱,부산광역시 강서구 명지오션시티4로 96  2층 201-1호 (명지동),2022-08-26
12,Nanba dog salon,부산광역시 강서구 명지국제6로 238  가온프라자 1층 102호 (명지동),2022-08-26
13,개 미장원,부산광역시 강서구 신호산단1로 76 (신호동),2022-08-26
14,또치네 이발소,부산광역시 강서구 명지국제8로 235  명지코아상가 1층 111호 (명지동),2022-08-26
15,조으냥,부산광역시 강서구 명지국제2로 41  222호 (명지동  더샵 명지퍼스트월드 3단지),2022-08-26
16,꽃보다댕댕이,부산광역시 강서구 신호산단1로140번길 8-20  1층 (신호동),2022-08-26
17,펫피플 스타필드명지점,부산광역시 강서구 명지국제6로 168  스타필드 시티 명지점 4층 4104호 (명지동),2022-08-26
18,멍스파,부산광역시 강서구 명지국제8로 286  지봉빌딩2 1층 101호 (명지동),2022-08-26
19,야옹아 놀자 명지점,부산광역시 강서구 명지국제8로 233  더스퀘어빌딩 205호 (명지동),2022-08-26
20,장보는강아지와고양이,부산광역시 강서구 신호산단1로 124  2층 (신호동),2022-08-26
21,도그윤,부산광역시 강서구 명지국제12로 3-5  1층 (명지동),2022-08-26
22,컴피,부산광역시 강서구 명지국제1로 56-1  플러스타워 1202호 (명지동),2022-08-26
23,커멍도그,부산광역시 강서구 명지국제8로 234  정우빌딩2차 506~508호 (명지동),2022-08-26
24,순수하개,부산광역시 강서구 명지국제5로 110  313동 104호 (명지동  금강펜테리움 센트럴파크 3차),2022-08-26
25,피터펫카페 가덕도점,부산광역시 강서구 가덕해안로 761  1동 3층 (천성동),2022-08-26
26,쁘띠꾸숑,부산광역시 강서구 신호산단4로64번가길 22  1층 (신호동),2022-08-26
27,반자주 명지국제신도시점,부산광역시 강서구 명지국제8로 234  101호 (명지동),2022-08-26
