순번,제조업체명,사료구분,생산사료명,생산능력_톤,등록일자,영업_상태
1,고려산업(주),배합,배합사료,330,1975-08-05,정상
2,사조동아원(주) 부산공장,단미,단미사료,162,1975-06-27,정상
3,대한제분(주),단미,단미사료,72,1975-06-27,정상
4,(주)한탑,단미,단미사료,100,1975-06-30,정상
5,한성기업(주) 준성호,단미,단미사료,3,1985-01-29,정상
6,오메가산업(주),보조,보조사료,4,1993-04-08,정상
7,이화유지공업(주),배합,배합사료,1.2,1996-11-13,정상
8,현대수산사료(주),단미,"단미사료-어즙흡착사료, 기타동물단백질(농축액), 동물성유지",40,1999-08-02,정상
9,(주)엔바이로젠,보조,보조사료,0.1,2000-07-27,정상
10,동양벤토나이트,보조,보조사료,10,2000-12-29,정상
11,(주)삼득산업,단미,남은음식물사료,80,2000-08-03,정상
12,(주)피마,단미,남은음식물사료,50,2001-04-25,정상
13,(주)농협사료 부산바이오,배합,프리믹스용 배합사료,40,2002-05-24,정상
14,(주)에버미라클 부산,보조,보조사료(생균제),0.02,2002-10-08,정상
15,타워무역,배합(수입),배합사료(그밖의 동물 어류용 배합사료),0,2002-12-12,정상
16,(주)농협사료 부산바이오,수입,수입사료,0,2003-04-29,정상
17,이화유지공업(주),단미,단미사료,10,2005-07-26,정상
18,이화유지공업(주),단미,단미사료,10,2005-07-26,정상
19,(주)카스코,단미(수입),단미사료,0,2005-11-15,정상
20,(주)반도통상,단미(수입),단미사료,0,2005-05-23,정상
21,(주)비엔바이오,보조,보조사료,1.6,2006-06-21,정상
22,(주)농협사료 부산바이오,보조,보조사료,20,2006-07-04,정상
23,(주)엔엘피,단미,보조사료,20,2006-02-14,정상
24,정일산업(주) 세인 리더호,단미,단미사료,7.5,2006-07-03,정상
25,일동산업,배합,배합사료,1,2006-09-22,정상
26,삼우통상,배합(수입),배합사료,0,2007-01-09,정상
27,(주)대경오앤티,단미(수입),단미사료,0,2007-01-10,정상
28,(주)경일통상,단미(수입),단미사료,0,2007-02-21,정상
29,(주)명송바이오,단미(수입),"식물성 곡규, 강피류, 식품가공부산물류, 섬유질유, 경과종실류",0,2007-03-15,정상
30,시제이(CJ)펫부산,배합(수입),배합사료-수산동물용,0,2007-03-19,정상
31,행복펫,배합(수입),배합사료,0,2007-03-23,정상
32,신미산업,단미,유황,0.3,2007-07-12,정상
33,그린월드(주),단미(수입),단미사료,0,2007-07-20,정상
34,행복조류사,배합(수입),배합사료,0,2007-08-27,정상
35,셀엠에스엠,단미(수입),단미사료,0,2007-09-18,정상
36,제이디펫(J.D.P),배합(수입),배합사료,0,2007-09-21,정상
37,사프,배합(수입),배합사료,0,2007-11-26,정상
38,에이티씨(A.. C),단미(수입),단미사료,0,2008-01-08,정상
39,성보통상(주),단미(수입),단미사료,0,2008-01-22,정상
40,에프씨에프(fcf),단미,단미사료,4,2008-01-22,정상
41,에이엠바이오(주),단미(수입),단미사료,0,2008-04-11,정상
42,엘바이오,단미(수입),단미사료,0,2008-05-21,정상
43,코리아트랜스(주),단미(수입),단미사료,0,2008-05-27,정상
44,스프링팜코리아,배합(수입),배합사료,0,2008-06-18,정상
45,(주)승진에프앤씨,단미(수입),단미사료,0,2008-09-11,정상
46,원칸통상,단미(수입),단미사료,0,2009-01-29,정상
47,엠케이케이 트레이님(주),단미(수입),단미사료,0,2009-02-19,정상
48,(주)현대에프엔씨,단미,"단미사료-기타동물성단백질사료, 어분, 어유",10,2009-03-02,정상
49,레즈던 파크 스테이블,배합(수입),배합사료,0,2009-03-27,정상
50,포유리소스,단미(수입),단미사료,0,2009-06-09,정상
51,(주)제이엔에스텍,보조,보조사료,7,2009-06-15,정상
52,(주)솔트코리아,단미(수입),단미사료,0,2009-08-17,정상
53,(주)동창,단미(수입),단미사료,0,2009-09-02,정상
54,(주)대진산업,단미(수입),단미사료,0,2009-10-14,정상
55,베델상사,단미(수입),단미사료,0,2009-11-13,정상
56,(주)중앙,단미(수입),단미사료,0,2010-01-18,정상
57,(주)금강기업,단미(수입),단미사료,0,2010-02-11,정상
58,씨큐비(주),단미(수입),단미사료,0,2010-04-15,정상
59,이화유지공업(주),단미(수입),단미사료,0,2010-04-23,정상
60,(주)태원인터내셔널,배합(수입),단미사료,0,2010-05-14,정상
61,효림상사,단미(수입),단미사료,0,2010-05-20,정상
62,(주)지아이홀딩스,단미(수입),단미사료,0,2010-07-14,정상
63,(주)에이치에스무역,단미(수입),단미사료,0,2010-07-28,정상
64,정일산업(주) 세인 챔피언호,단미,단미사료,30,2010-11-01,정상
65,다전물산(주),단미(수입),단미사료,0,2010-12-28,정상
66,메이트무역(주),단미(수입),단미사료,0,2011-03-30,정상
67,아지의스낵,배합,배합사료,0.1,2011-04-08,정상
68,수영토탈펫트,배합,배합사료,0.2,2011-04-15,정상
69,태영무역,수입,단미사료,0,2011-04-27,정상
70,(주)서현테크켐,보조(수입),보조사료,0,2011-05-19,정상
71,(주)경일통상,배합(수입),배합사료,0,2011-05-23,정상
72,미왕,단미(수입),단미사료,0,2011-05-31,정상
73,창일상사,단미(수입),단미사료,0,2011-06-23,정상
74,오션 코리아(ocean korea),단미(수입),단미사료,0,2011-07-13,정상
75,용성인터내셔널(주),단미(수입),단미사료,0,2011-07-13,정상
76,라이트지알(주),단미(수입),단미사료,0,2011-07-21,정상
77,동향유통,배합(수입),배합사료,0,2011-08-08,정상
78,일동산업,단미(수입),단미사료,0,2011-09-05,정상
79,러브앤펫,단미,단미사료,0.1,2011-10-20,정상
80,대평상사,단미(수입),단미사료,0,2011-12-09,정상
81,(주)비에스인큐브,보조,보조사료,6,2011-12-21,정상
82,(주)미래통상,수입,단미사료,0,2011-12-30,정상
83,(주)씨에프케이,단미(수입),단미사료,0,2012-01-20,정상
84,현대수산사료(주),단미,단미사료(어분),10,2012-01-31,정상
85,대일포리켐,단미(수입),단미사료,0,2012-03-20,정상
86,낭만냥이 레스토랑,배합,배합사료,0.1,2012-04-12,정상
87,(주)우리코퍼레이션,단미(수입),단미사료,0,2012-04-17,정상
88,고려산업(주),단미(수입),단미사료,0,2012-04-24,정상
89,인터트레이딩,단미(수입),단미사료,0,2012-05-16,정상
90,알템(em),단미(수입),단미사료,0,2012-06-12,정상
91,아스빅 인터(주),보조(수입),보조사료,0,2012-06-12,정상
92,올바른,수입,,0,2012-07-04,정상
93,(주)신한에프앤티,단미(수입),단미사료,0,2012-07-18,정상
94,글로맥스산업,보조(수입),보조사료,0,2012-09-11,정상
95,MH오메가3연구소,단미(수입),단미사료,0,2012-09-19,정상
96,(주)베스트코,단미(수입),단미사료,0,2012-10-16,정상
97,세븐네이쳐,배합,배합사료,0.01,2012-10-22,정상
98,도그앤푸드,배합,배합사료,0.005,2012-11-19,정상
99,푸드펫,배합,배합사료,0.01,2012-12-06,정상
100,유명산업주식회사,단미(수입),단미사료,0,2012-12-07,정상
101,비나글루텐,단미(수입),단미사료,0,2013-01-14,정상
102,(주(금성),수입,단미사료,0,2013-05-27,정상
103,보천물산,단미(수입),단미사료,0,2013-07-26,정상
104,에이비알(ABR),보조,보조사료(비타민제),0.3,2013-08-13,정상
105,동원산업(주) 세종호,단미,어분,25,2013-09-05,정상
106,(주)그린트레이딩코리아,단미(수입),단미사료,0,2013-11-25,정상
107,SEA-ONE 인터내셔날,단미(수입),단미사료,0,2013-12-03,정상
108,(주)젬코프레이션,단미(수입),단미사료,0,2014-03-12,정상
109,루이맘독앤푸드(Louismom D&F),배합,배합사료,0.2,2014-03-12,정상
110,아이씨에스무역(I.C.S무역),단미,단미사료,0,2014-04-21,정상
111,거안 주식회사,단미(수입),단미사료,0,2014-05-15,정상
112,주식회사 동서에프앤에프,단미(수입),단미사료,0,2014-06-24,정상
113,아이비티(I),단미(수입),단미사료,0,2014-07-01,정상
114,버드마트,배합(수입),배합사료,0,2014-07-07,정상
115,원우수산,단미,단미사료,20,2014-08-19,정상
116,(주)한새교역,단미(수입),단미사료,0,2014-10-14,정상
117,성도물산(주),단미(수입),단미사료,0,2014-10-16,정상
118,(주)엘카라,단미(수입),단미사료,0,2014-10-22,정상
119,(주)네츄럴바이오코리아,단미,단미사료,0.2,2014-06-10,정상
120,간식창고,배합,배합사료,0.001,2014-12-02,정상
121,알파앤무역,단미(수입),단미사료,0,2014-12-15,정상
122,(주)아이리스컴퍼니,배합(수입),배합사료,0,2014-12-15,정상
123,(주) 펫앤미,배합(수입),배합사료,0,2014-12-24,정상
124,평창무역,단미(수입),단미사료,0,2015-01-05,정상
125,포포메,배합,배합사료,0.1,2015-01-20,정상
126,주식회사 리프패럿,배합(수입),배합사료,0,2015-01-26,정상
127,(주)비진통상,수입,단미사료,0,2015-01-29,정상
128,태성상사,단미(수입),단미사료,0,2015-03-05,정상
129,(주)단비 바이오,보조,보조사료,1,2015-03-31,정상
130,(주)삼영씨푸드,단미(수입),단미사료,0,2015-04-01,정상
131,(주)선홍무역,배합(수입),배합사료,0,2015-04-13,정상
132,(주)선홍무역,단미(수입),단미사료,0,2015-04-13,정상
133,로하스,단미(수입),"단미사료-식물성박류, 식물성 섬유질류, 동물성유지류",0,2015-05-20,정상
134,(주)푸드업,단미,단미사료,2,2015-06-30,정상
135,베리스,단미,,0.01,2015-07-13,정상
136,아이엠에스(IMS Corporion),배합(수입),배합사료,0.1,2015-08-10,정상
137,사프,단미(수입),,0,2015-08-12,정상
138,티에프씨,단미(수입),,0.01,2015-08-17,정상
139,프루다 인터내셔널,단미(수입),,0,2015-09-15,정상
140,서면펫살롱,단미,,0.01,2015-10-06,정상
141,기억하개 펫푸드,단미,동물성 단백질류(기타동물성단백질류),0.1,2015-10-14,정상
142,(주)서화제약,수입,,0,2015-11-25,정상
143,내츄럴씨푸드,단미(수입),,0,2016-03-02,정상
144,슈슈퍼피,단미,,0.01,2016-03-08,정상
145,(주)우진바이오,단미(수입),어분,0,2016-03-23,정상
146,또리 펫 푸드,단미,동물성 단백질류,0.02,2016-03-25,정상
147,(주)디엘피컴퍼니,배합,"그 밖의 동물어류용 배합사료, 애완용동물",0.05,2016-04-08,정상
148,앙꼬맘마,단미,혼합성 단미사료,0.035,2016-04-20,정상
149,다전물산(주),보조(수입),보조사료,0,2016-05-02,정상
150,주식회사 리프패럿,보조(수입),"아미노산제, 향미제",0,2016-05-02,정상
151,(주)아이리스컴퍼니,단미(수입),,0,2016-05-03,정상
152,(주)스티커스코퍼레이션,단미,"동물성단백질류, 혼합성(혼합제)",0.1,2016-06-13,정상
153,(주)스티커스코퍼레이션,배합,"그 밖의 동물어류용 배합사료, 애완용동물",0.2,2016-06-13,정상
154,(주)바우와우코리아,단미,기타 동물성단백질류,0.5,2016-06-16,정상
155,(주)바우와우코리아,배합,그 밖의 동물어류용 배합사료,9,2016-06-16,정상
156,(주)바우와우코리아,배합(수입),,0,2016-06-21,정상
157,루이맘 독앤푸드,단미,"동물성단백질류, 혼합성(혼합제)",0.05,2016-06-24,정상
158,주식회사 리프패럿,단미(수입),"혼합성 단미사료, 식물성-과실류,채소류",0,2016-06-26,정상
159,(주)펫앤미,단미(수입),,0,2016-07-16,정상
160,(주)정인,배합,배합사료(그밖의 동물 어류용 배합사료),0.3,2016-07-18,정상
161,(주)정인,단미,"동물성단백질류, 혼합성(혼합제)",0.3,2016-07-18,정상
162,퍼플,배합,그 밖의 동물어류용 배합사료,0.2,2016-07-25,정상
163,퍼플,단미,"동물성단백질류, 혼합성(혼합제)",0.2,2016-07-25,정상
164,(주)현우에프엔이,단미(수입),식물성 섬유질류,0,2016-07-25,정상
165,뽀독뽀독수제간식,단미,동물성 단백질류(육포),0.01,2016-07-27,정상
166,세븐네이쳐,단미,"동물성단백질류, 혼합성(혼합제)",0.02,2016-08-31,정상
167,아스빅인터(주),배합(수입),그 밖의 동물어류용 배합사료-수산동물,0,2016-09-07,정상
168,허니비,단미,"동물성단백질류, 혼합성(혼합제)",0.01,2016-10-11,정상
169,(주)서화제약,단미,"혼합제, 동물성무기물류",0.5,2016-10-25,정상
170,페티즈(pis),단미,"동물성단백질류, 혼합성(혼합제)",0.01,2016-10-25,정상
171,(주)홍성통상,배합(수입),양축용배합사료,0,2016-10-31,정상
