개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
3140000,3.14E+17,19900130,,1,영업/정상,0,정상,,,,,2693-8883,1,,서울특별시 양천구 신월동 501-12 ,서울특별시 양천구 중앙로 295 (신월동),8028,우신동물병원,2.02103E+13,U,40:00.0,,186794.8421,446714.2758,동물병원,,,0,
3140000,3.14E+17,19900223,,1,영업/정상,0,정상,,,,,2642-9159,1,,서울특별시 양천구 목동 657-16 ,서울특별시 양천구 등촌로 160 (목동),7951,강현림 종합동물병원,2.02011E+13,U,40:00.0,,187774.0762,449099.4068,동물병원,,,0,
3140000,3.14E+17,19940318,,1,영업/정상,0,정상,,,,,02-2651-9953,1,,서울특별시 양천구 신정동 1020-17,서울특별시 양천구 은행정로 10 (신정동),8087,해성동물병원,2.02205E+13,U,04:00.0,,187566.1085,446497.5845,,,,,
3140000,3.14E+17,19940707,,3,폐업,2,폐업,20080820,,,,2608-5886,1,,서울특별시 양천구 신월동 512-7번지 ,서울특별시 양천구 신월로 199 (신월동),,신월동물병원,2.00808E+13,I,59:59.0,,186179.7368,446472.4121,동물병원,,,0,
3140000,3.14E+17,19940812,,3,폐업,2,폐업,20120808,,,,692-7283,0,,서울특별시 양천구 신월동 64-1   번지 ,,,강성동물병원,2.01208E+13,I,59:59.0,,,,동물병원,,,0,
3140000,3.14E+17,19950905,,3,폐업,2,폐업,20130527,,,,2647-1772,0,,서울특별시 양천구 목동 783-2번지 ,서울특별시 양천구 등촌로 58 (목동),7965,하니동물병원,2.01305E+13,I,59:59.0,,187890.2511,448106.5715,동물병원,,,0,
3140000,3.14E+17,19950425,,3,폐업,2,폐업,20120501,,,,2644-0069,0,,서울특별시 양천구 신정동 995-4   번지 ,,,상아동물병원,2.01205E+13,I,59:59.0,,,,동물병원,,,0,
3140000,3.14E+17,19950615,,1,영업/정상,0,정상,,,,,226546183,62.4,,서울특별시 양천구 신정동 294-62번지 ,서울특별시 양천구 목동동로10길 6 (신정동),8014,노아동물병원,2.0181E+13,U,59:59.0,,188498.8896,446254.4703,동물병원,,,0,
3140000,3.14E+17,19960128,,3,폐업,2,폐업,20081107,,,,2651-1855,0,,서울특별시 양천구 목동 506-7번지 ,서울특별시 양천구 목동중앙본로 113 (목동),,대현동물병원,2.00811E+13,I,59:59.0,,188540.1745,449290.7331,동물병원,,,0,
3140000,3.14E+17,19970110,,3,폐업,2,폐업,20060203,,,,654-7345,0,,서울특별시 양천구 목동 788-13  번지 ,,,애완동물병원,2.00602E+13,I,59:59.0,,,,동물병원,,,0,
3140000,3.14E+17,19970320,,1,영업/정상,0,정상,,,,,2607-0022,128.3,,서울특별시 양천구 신월동 444-11,서울특별시 양천구 오목로 45 (신월동),7930,양천종합동물병원,2.02209E+13,U,04:00.0,,186019.5568,446684.7216,,,,,
3140000,3.14E+17,19971029,,3,폐업,2,폐업,20190916,,,,2644-8275,0,,서울특별시 양천구 신정동 294-29번지 ,서울특별시 양천구 목동동로8길 7 (신정동),,이솝동물병원,2.01909E+13,U,40:00.0,,188492.5628,446209.4436,동물병원,,,0,
3140000,3.14E+17,19980516,,3,폐업,2,폐업,20091214,,,,2645-7588,0,,서울특별시 양천구 목동 908-31번지 목동프라자 105 ,서울특별시 양천구 목동서로 35 (목동목동프라자 105),,가나동물병원,2.00912E+13,I,59:59.0,,189512.0451,448382.5598,동물병원,,,0,
3140000,3.14E+17,19990309,,3,폐업,2,폐업,20191022,,,,2644-8254,0,,서울특별시 양천구 목동 752-1번지 극동상가 103 ,서울특별시 양천구 목동중앙본로 10 (목동극동상가 103),,나우동물종합병원,2.0191E+13,U,40:00.0,,188567.944,448483.6229,동물병원,,,0,
3140000,3.14E+17,19990625,,1,영업/정상,0,정상,,,,,2695-1231,0,,서울특별시 양천구 신월동 50-5번지 ,서울특별시 양천구 남부순환로 347 (신월동),7905,민병철동물병원,2.01802E+13,I,59:59.0,,184767.7296,448229.827,동물병원,,,0,
3140000,3.14E+17,20010404,,3,폐업,2,폐업,20030415,,,,2643-8204,0,,서울특별시 양천구 신정동 1052-3번지 ,서울특별시 양천구 중앙로 230 (신정동),,바우동물병원,2.00309E+13,I,59:59.0,,187079.3751,446116.6293,동물병원,,,0,
3140000,3.14E+17,20010619,,3,폐업,2,폐업,20060220,,,,2642-7582,0,,서울특별시 양천구 목동 905-22  번지 목동트윈빌딩(102호) ,,,황경택동물병원,2.00602E+13,I,59:59.0,,,,동물병원,,,0,
