개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원,,,
3230000,3.23E+17,19870910,,3,폐업,2,폐업,20091022,,,,473-0577,0,,서울특별시 송파구 풍납동 257-95번지 ,서울특별시 송파구 토성로 30-1 (풍납동),,애니종합동물병원,2.01507E+13,I,59:59.0,,209976.1534,447559.1311,동물병원,,,0,,,,
3230000,3.23E+17,19880910,,3,폐업,2,폐업,20160318,,,,419-0430,0,,서울특별시 송파구 삼전동 49번지 ,서울특별시 송파구 백제고분로 218 (삼전동),,사랑의동물병원,2.01603E+13,I,59:59.0,,207955.0273,444570.3091,동물병원,,,0,,,,
3230000,3.23E+17,19891230,,3,폐업,2,폐업,20000601,,,,418-4684,0,,서울특별시 송파구 송파동 48-19번지 ,,,잠실종합병원,2.01507E+13,I,59:59.0,,209761.0489,445221.1698,동물병원,,,0,,,,
3230000,3.23E+17,19900808,,1,영업/정상,0,정상,,,,,404-6123,21.45,,서울특별시 송파구 오금동 39-1번지 ,서울특별시 송파구 오금로35길 44 (오금동),5660,이재풍동물병원,2.01903E+13,U,40:00.0,,211360.4929,444924.3734,동물병원,,,0,,,,
3230000,3.23E+17,19900511,,3,폐업,2,폐업,20011010,,,,4006294,0,,서울특별시 송파구 오금동 129-12번지 ,서울특별시 송파구 마천로26길 12 (오금동),,거여가축병원,2.01507E+13,I,59:59.0,,212178.4221,444450.8509,동물병원,,,0,,,,
3230000,3.23E+17,19910218,,1,영업/정상,0,정상,,,,,02-402-5746,0,,서울특별시 송파구 가락동 190-6번지 무영빌딩 ,서울특별시 송파구 동남로18길 23, 무영빌딩 (가락동),5783,영국동물병원,2.02006E+13,U,40:00.0,,211698.2008,443566.9701,동물병원,,,0,,,
3230000,3.23E+17,19910330,,1,영업/정상,0,정상,,,,,414-7588,0,,서울특별시 송파구 잠실동 175-12번지 올림픽타워 101호,서울특별시 송파구 올림픽로 88, 올림픽타워 101호 (잠실동),5556,희망종합동물병원,2.01906E+13,U,40:00.0,,207048.6382,445470.1056,동물병원,,,0,,,
3230000,3.23E+17,19910426,,1,영업/정상,0,정상,,,,,401-0075,0,,서울특별시 송파구 거여동 562-4번지 ,서울특별시 송파구 오금로 498 (거여동),5772,노아동물병원,2.01906E+13,U,40:00.0,,212655.919,443430.7724,동물병원,,,0,,,,
3230000,3.23E+17,19930713,,1,영업/정상,0,정상,,,,,443-8083,0,,서울특별시 송파구 거여동 133-77 흥일빌딩,서울특별시 송파구 마천로 264, 흥일빌딩 (거여동),5735,오주동물병원,2.02205E+13,U,01:00.0,,212852.6208,443990.5747,,,,,,,
3230000,3.23E+17,19930702,,1,영업/정상,0,정상,,,,,414-0075,0,,서울특별시 송파구 방이동 124-8 남양빌딩,서울특별시 송파구 오금로 203, 남양빌딩 (방이동),5643,펫토피아동물병원,2.02209E+13,U,05:00.0,,210245.0525,445108.5728,,,,,,,
3230000,3.23E+17,19931206,,3,폐업,2,폐업,20020423,,,,4170280,0,,서울특별시 송파구 석촌동 272-24번지 ,,,석촌동물병원,2.01507E+13,I,59:59.0,,209341.7137,444311.4918,동물병원,,,0,,,,
3230000,3.23E+17,19931227,,3,폐업,2,폐업,20020911,,,,4303737,0,,서울특별시 송파구 가락동 156-3번지 ,서울특별시 송파구 중대로 206 (가락동),,에이스동물병원,2.01507E+13,I,59:59.0,,211158.9957,444226.6263,동물병원,,,0,,,,
3230000,3.23E+17,19940629,,1,영업/정상,0,정상,,,,,443-8973,0,,서울특별시 송파구 오금동 120-7번지 ,서울특별시 송파구 동남로 318 (오금동),5730,김민재동물병원,2.01906E+13,U,40:00.0,,212193.4274,444617.3151,동물병원,,,0,,,,
3230000,3.23E+17,19940331,,3,폐업,2,폐업,20001222,,,,4025577,0,,서울특별시 송파구 가락동 120-1번지 ,,,워리동물병원,2.01507E+13,I,59:59.0,,210976.4235,443383.3805,동물병원,,,0,,,,
3230000,3.23E+17,19940707,,3,폐업,2,폐업,20180724,,,,418-8611,0,,서울특별시 송파구 방이동 35-9번지 ,서울특별시 송파구 올림픽로 362 (방이동),,박경호동물병원,2.01807E+13,I,59:59.0,,209687.7925,446023.3901,동물병원,,,0,,,,
3230000,3.23E+17,19960725,,3,폐업,2,폐업,20000404,,,,22023515,0,,서울특별시 송파구 삼전동 7-6번지 ,,,서울동물병원,2.01507E+13,I,59:59.0,,207763.3532,444701.2079,동물병원,,,0,,,,
3230000,3.23E+17,19970315,,1,영업/정상,0,정상,,,,,2202-0075,0,,서울특별시 송파구 잠실동 234-17번지 성선빌딩 ,서울특별시 송파구 백제고분로 161, 성선빌딩 (잠실동),5568,위드펫종합동물병원,2.01906E+13,U,40:00.0,,207433.006,444811.9218,동물병원,,,0,,,
3230000,3.23E+17,19971030,,3,폐업,2,폐업,20000722,,,,4191351,0,,,서울특별시 강남구 봉은사로72길 33, 101동 8층 1호 (삼성동, 영무예다음),6155,25시동물병원,2.01507E+13,I,59:59.0,,204557.5755,445352.4254,동물병원,,,0,,
3230000,3.23E+17,19971204,,3,폐업,2,폐업,20220826,,,,02-473-6900,0,,서울특별시 송파구 풍납동 480-2,서울특별시 송파구 올림픽로 611 (풍납동),5519,천호동물병원,2.02208E+13,U,08:00.0,,210741.4212,448246.6446,,,,,,,,
3230000,3.23E+17,19980227,,3,폐업,2,폐업,20020315,,,,4047582,0,,서울특별시 송파구 가락동 101-1번지 ,,,훼미리동물병원,2.01507E+13,I,59:59.0,,210600.1149,443166.6218,동물병원,,,0,,,,
3230000,3.23E+17,19980507,,3,폐업,2,폐업,20000303,,,,4317575,0,,서울특별시 송파구 가락동 193-3번지 ,,,문정종합동물병원,2.01507E+13,I,59:59.0,,211522.1878,443693.1936,동물병원,,,0,,,,
3230000,3.23E+17,19980518,,3,폐업,2,폐업,20000329,,,,4888275,0,,서울특별시 송파구 풍납동 504-1번지 ,,,박형우종합동물병원,2.01507E+13,I,59:59.0,,210576.93,447660.4893,동물병원,,,0,,,,
3230000,3.23E+17,19980918,,3,폐업,2,폐업,20020412,,,,449-8575,0,,서울특별시 송파구 마천동 211-45번지 ,서울특별시 송파구 성내천로 306 (마천동),,다사랑동물병원,2.01507E+13,I,59:59.0,,213681.0073,443507.6879,동물병원,,,0,,,,
3230000,3.23E+17,19981118,,3,폐업,2,폐업,20050517,,,,2203-0040,0,,서울특별시 송파구 잠실동 40-1번지 ,서울특별시 송파구 올림픽로 240 (잠실동),,한울동물병원,2.01507E+13,I,59:59.0,,208589.3633,445455.9041,동물병원,,,0,,,,
3230000,3.23E+17,19981221,,3,폐업,2,폐업,20000419,,,,4192611,0,,서울특별시 송파구 석촌동 252-2번지 ,,,엄마손동물병원,2.01507E+13,I,59:59.0,,209056.6055,444164.5931,동물병원,,,0,,,,
3230000,3.23E+17,19990108,,1,영업/정상,0,정상,,,,,413-0075,0,,서울특별시 송파구 방이동 226-7번지 건양빌딩 ,서울특별시 송파구 오금로 247, 건양빌딩 (방이동),5645,가락종합동물병원,2.01905E+13,U,40:00.0,,210632.3912,444908.6539,동물병원,,,0,,,
3230000,3.23E+17,19990430,,3,폐업,2,폐업,20161101,,,,404-8275,0,,서울특별시 송파구 거여동 183-11번지 ,서울특별시 송파구 마천로 274 (거여동),,첼린저동물병원,2.01611E+13,I,59:59.0,,212923.4312,443926.0469,동물병원,,,0,,,,
3230000,3.23E+17,19990708,,3,폐업,2,폐업,20000229,,,,4030222,0,,서울특별시 송파구 가락동 49-3번지 ,,,밍키종합동물병원,2.01507E+13,I,59:59.0,,210649.5744,443956.9927,동물병원,,,0,,,,
3230000,3.23E+17,19990708,,3,폐업,2,폐업,20100518,,,,420-9993,0,,서울특별시 송파구 송파동 103-29번지 ,서울특별시 송파구 가락로 162 (송파동),,한양종합동물병원,2.01507E+13,I,59:59.0,,209960.6699,444566.3446,동물병원,,,0,,,,
3230000,3.23E+17,19990830,,3,폐업,2,폐업,20010110,,,,4243662,0,,서울특별시 송파구 송파동 97-14 번지 ,,,LA종합동물병원,2.00303E+13,I,59:59.0,,,,동물병원,,,0,,,,
3230000,3.23E+17,19990713,,1,영업/정상,0,정상,,,,,424-2955,243.8,,서울특별시 송파구 삼전동 132-12 신일빌딩 ,서울특별시 송파구 삼학사로 75, 신일빌딩 (삼전동),5603,하트동물메디컬센터,2.02105E+13,U,40:00.0,,208492.7222,444640.9949,동물병원,,,0,,,
3230000,3.23E+17,19990916,,3,폐업,2,폐업,20050414,,,,443-9229,0,,서울특별시 송파구 문정동 31번지 ,서울특별시 송파구 동남로4길 25 (문정동),,로데오24종합동물병원,2.01507E+13,I,59:59.0,,210988.6235,442868.6074,동물병원,,,0,,,,
3230000,3.23E+17,20000121,,3,폐업,2,폐업,20040402,,,,400-3644,0,,서울특별시 송파구 가락동 190번지 ,서울특별시 송파구 오금로46길 36 (가락동),,더독동물병원,2.01507E+13,I,59:59.0,,211753.7035,443623.793,동물병원,,,0,,,,
3230000,3.23E+17,20000124,,3,폐업,2,폐업,20011119,,,,420-8133,0,,서울특별시 송파구 송파동 143-7번지 ,,,서광VETLAB,2.01507E+13,I,59:59.0,,210174.7731,445002.2358,동물병원,,,0,,,,
3230000,3.23E+17,20000228,,3,폐업,2,폐업,20010131,,,,449-4617,0,,서울특별시 송파구 가락동 49-3번지 ,,,밍키종합동물병원,2.01507E+13,I,59:59.0,,210649.5744,443956.9927,동물병원,,,0,,,,
3230000,3.23E+17,20000304,,3,폐업,2,폐업,20010205,,,,406-4814,0,,서울특별시 송파구 마천동 35번지 ,서울특별시 송파구 마천로 263 (마천동),,동물의왕국,2.01507E+13,I,59:59.0,,212868.8125,444025.5405,동물병원,,,0,,,,
3230000,3.23E+17,20000406,,3,폐업,2,폐업,20011016,,,,4139181,0,,서울특별시 송파구 방이동 111번지 ,서울특별시 송파구 백제고분로48길 6 (방이동),,한성종합동물병원,2.01507E+13,I,59:59.0,,209996.9781,445483.82,동물병원,,,0,,,,
3230000,3.23E+17,20000406,,3,폐업,2,폐업,20001018,,,,2202-3515,0,,서울특별시 송파구 삼전동 7-6번지 ,,,서울동물의료원,2.01507E+13,I,59:59.0,,207763.3532,444701.2079,동물병원,,,0,,,,
3230000,3.23E+17,20000427,,3,폐업,2,폐업,20010116,,,,419-2611,0,,서울특별시 송파구 석촌동 252-2번지 ,,,엄마손동물병원,2.01507E+13,I,59:59.0,,209056.6055,444164.5931,동물병원,,,0,,,,
3230000,3.23E+17,20000428,,3,폐업,2,폐업,20110701,,,,431-7575,0,,서울특별시 송파구 가락동 193-3번지 ,서울특별시 송파구 동남로 202 (가락동),,문정종합동물병원,2.01507E+13,I,59:59.0,,211522.1878,443693.1936,동물병원,,,0,,,,
3230000,3.23E+17,20000515,,3,폐업,2,폐업,20020724,,,,2202-3633,0,,서울특별시 송파구 석촌동 184-8번지 ,,,Di.J동물병원,2.01507E+13,I,59:59.0,,209259.3592,444929.1593,동물병원,,,0,,,,
3230000,3.23E+17,20000612,,3,폐업,2,폐업,20000915,,,,408-8422,0,,서울특별시 송파구 오금동 78-6번지 ,,,메디텍코리아,2.01507E+13,I,59:59.0,,211873.1873,444777.9129,동물병원,,,0,,,,
3230000,3.23E+17,20040603,,3,폐업,2,폐업,20110628,,,,2202-3515,0,,서울특별시 송파구 삼전동 7-6번지 지하1,지상1층 ,서울특별시 송파구 백제고분로 195 (삼전동,지하1,지상1층),,서울동물의료원,2.01507E+13,I,59:59.0,,207763.3532,444701.2079,동물병원,,,0,
3230000,3.23E+17,20001019,,3,폐업,2,폐업,20171228,,,,408-9725,0,,서울특별시 송파구 거여동 562-2번지 ,서울특별시 송파구 오금로 494 (거여동),,가람종합동물병원,2.01712E+13,I,59:59.0,,212628.6573,443449.1163,동물병원,,,0,,,,
3230000,3.23E+17,20001025,,3,폐업,2,폐업,20020918,,,,2202-9915,0,,서울특별시 송파구 삼전동 5-3번지 ,,,25시동물병원,2.01507E+13,I,59:59.0,,207835.268,444818.1365,동물병원,,,0,,,,
3230000,3.23E+17,20001025,,3,폐업,2,폐업,20011126,,,,400-4633,0,,서울특별시 송파구 방이동 89-4번지 ,,,올림픽동물병원,2.01507E+13,I,59:59.0,,212138.1134,446315.7525,동물병원,,,0,,,,
3230000,3.23E+17,20000401,,3,폐업,2,폐업,20040604,,,,484-4063,0,,서울특별시 송파구 풍납동 504-1번지 ,서울특별시 송파구 올림픽로 553 (풍납동),,박형우동물병원,2.01507E+13,I,59:59.0,,210576.93,447660.4893,동물병원,,,0,,,,
3230000,3.23E+17,20010621,,1,영업/정상,0,정상,,,,,424-3662,0,,서울특별시 송파구 송파동 97-14번지 ,서울특별시 송파구 송파대로 378 (송파동),5676,송파동물의료센터,2.01903E+13,U,40:00.0,,209744.136,444378.5593,동물병원,,,0,,,,
3230000,3.23E+17,20010209,,3,폐업,2,폐업,20020208,,,,406-4814,0,,서울특별시 송파구 마천동 35번지 ,서울특별시 송파구 마천로 263 (마천동),,동물의왕국,2.01507E+13,I,59:59.0,,212868.8125,444025.5405,동물병원,,,0,,,,
3230000,3.23E+17,20010215,,3,폐업,2,폐업,20150526,,,,419-2611,0,,서울특별시 송파구 석촌동 252-2번지 ,서울특별시 송파구 가락로 62 (석촌동),,엄마손동물병원,2.01507E+13,I,59:59.0,,209056.6055,444164.5931,동물병원,,,0,,,,
3230000,3.23E+17,20010215,,3,폐업,2,폐업,20071005,,,,403-0222,0,,서울특별시 송파구 가락동 49-3번지 ,서울특별시 송파구 송이로 95 (가락동),,밍키종합동물병원,2.01507E+13,I,59:59.0,,210649.5744,443956.9927,동물병원,,,0,,,,
3230000,3.23E+17,20010305,,3,폐업,2,폐업,20070809,,,,416-8875,47.79,,서울특별시 송파구 방이동 136-13번지 ,서울특별시 송파구 가락로 259 (방이동),,방이동물병원,2.01507E+13,I,59:59.0,,210413.1945,445439.8102,동물병원,,,0,,,,
3230000,3.23E+17,20010529,,3,폐업,2,폐업,20080110,,,,419-8275,0,,서울특별시 송파구 삼전동 48-10번지 ,서울특별시 송파구 백제고분로 214 (삼전동),,건국동물병원,2.01507E+13,I,59:59.0,,207914.7862,444584.647,동물병원,,,0,,,,
3230000,3.23E+17,20010706,,3,폐업,2,폐업,20110706,,,,400-7582,0,,서울특별시 송파구 가락동 125-8번지 ,서울특별시 송파구 송이로 171 (가락동),,봄빛동물병원,2.01507E+13,I,59:59.0,,211082.4803,443326.3593,동물병원,,,0,,,,
3230000,3.23E+17,20011105,,3,폐업,2,폐업,20110628,,,,416-8070,0,,,서울특별시 송파구 오금로 168 (송파동),5662,강남종합동물병원,2.01507E+13,I,59:59.0,,209918.5831,445270.4974,동물병원,,,0,,,,
3230000,3.23E+17,20020114,,3,폐업,2,폐업,20030213,,,,4004633,0,,서울특별시 송파구 방이동 89-5번지 G상가105호 ,서울특별시 송파구 강동대로 320 (방이동,G상가105호),,올림픽동물병원,2.00303E+13,I,59:59.0,,212327.8927,446210.6631,동물병원,,,0,,,
3230000,3.23E+17,20020215,,1,영업/정상,0,정상,,,,,406-4814,0,,서울특별시 송파구 마천동 35번지 ,서울특별시 송파구 마천로 263 (마천동),5734,동물의왕국동물병원,2.01905E+13,U,40:00.0,,212868.8125,444025.5405,동물병원,,,0,,,,
3230000,3.23E+17,20020318,,3,폐업,2,폐업,20021111,,,,4047582,0,,서울특별시 송파구 가락동 101-1번지 ,,,훼밀리동물병원,2.01507E+13,I,59:59.0,,210600.1149,443166.6218,동물병원,,,0,,,,
3230000,3.23E+17,20020501,,1,영업/정상,0,정상,,,,,449-0101,0,,서울특별시 송파구 오금동 17-2번지 우일빌딩 ,서울특별시 송파구 마천로5길 16, 우일빌딩 (오금동),5657,늘푸른동물병원,2.01905E+13,U,40:00.0,,211178.1832,445262.7464,동물병원,,,0,,,
3230000,3.23E+17,20020506,,3,폐업,2,폐업,20081126,,,,449-7580,0,,서울특별시 송파구 가락동 137-3번지 ,,,메디칼동물병원,2.01507E+13,I,59:59.0,,211262.9949,443408.2784,동물병원,,,0,,,,
3230000,3.23E+17,20020508,,3,폐업,2,폐업,20111116,,,,412-0098,0,,서울특별시 송파구 잠실동 228-10번지 ,서울특별시 송파구 백제고분로 131 (잠실동),,팔라스동물병원,2.01507E+13,I,59:59.0,,207154.9998,444910.8974,동물병원,,,0,,,,
3230000,3.23E+17,20020726,,3,폐업,2,폐업,20170403,,,,2202-3633,0,,,서울특별시 송파구 송파대로 451 (석촌동),5609,닥터제이동물병원,2.01704E+13,I,59:59.0,,209259.3592,444929.1593,동물병원,,,0,,,,
3230000,3.23E+17,20020916,,1,영업/정상,0,정상,,,,,02-419-1351,0,,서울특별시 송파구 삼전동 5-3 남관빌딩,서울특별시 송파구 삼전로 80, 남관빌딩 (삼전동),5606,25시동물의료센터,2.02208E+13,U,01:00.0,,207835.268,444818.1365,,,,,,,
3230000,3.23E+17,20020916,,1,영업/정상,0,정상,,,,,415-7585,0,,서울특별시 송파구 송파동 96-6번지 창영빌딩 ,서울특별시 송파구 송파대로 388, 창영빌딩 (송파동),5668,잠실종합동물병원,2.01904E+13,U,40:00.0,,209676.4187,444469.5284,동물병원,,,0,,,
3230000,3.23E+17,20021016,,3,폐업,2,폐업,20090320,,,,449-8575,0,,서울특별시 송파구 마천동 576번지 우방아파트상가 ,서울특별시 송파구 성내천로 211 (마천동,우방아파트상가),,메디펫동물병원,2.01507E+13,I,59:59.0,,213374.4828,444245.2353,동물병원,,,0,,,
3230000,3.23E+17,20030121,,1,영업/정상,0,정상,,,,,400-0075,0,,서울특별시 송파구 문정동 150-2번지 문정프라자 ,서울특별시 송파구 중대로 80, 문정프라자 (문정동),5833,펫가든동물병원,2.01903E+13,U,40:00.0,,210343.6993,443288.285,동물병원,,,0,,,
3230000,3.23E+17,20030214,,3,폐업,2,폐업,20121018,,,,400-4633,0,,,서울특별시 송파구 강동대로 300 (방이동),5649,오즈동물병원,2.01507E+13,I,59:59.0,,212138.1134,446315.7525,동물병원,,,0,,,,
3230000,3.23E+17,20030218,,3,폐업,2,폐업,20030605,,,,413-7119,0,,서울특별시 송파구 방이동 114-5번지 ,서울특별시 송파구 오금로 169 (방이동),,페미페츠동물병원,2.01507E+13,I,59:59.0,,209966.3849,445301.7677,동물병원,,,0,,,,
3230000,3.23E+17,20030410,,3,폐업,2,폐업,20150331,,,,423-2075,33.4,,,서울특별시 송파구 올림픽로35길 124 (신천동),5504,늘푸른동물병원,2.01507E+13,I,59:59.0,,208707.0899,446299.3528,동물병원,,,0,,,,
3230000,3.23E+17,20030425,,3,폐업,2,폐업,20040309,,,,416-0126,33,,서울특별시 송파구 송파동 89-4번지 ,,,바울동물병원,2.01507E+13,I,59:59.0,,209567.18,444619.8847,동물병원,,,0,,,,
3230000,3.23E+17,20030507,,1,영업/정상,0,정상,,,,,402-9119,0,,서울특별시 송파구 오금동 3번지 ,서울특별시 송파구 위례성대로 178 (오금동),,준동물병원,2.00305E+13,I,59:59.0,,211484.2908,445340.7653,동물병원,,,,,,,
3230000,3.23E+17,20030507,,3,폐업,2,폐업,20200831,,,,402-9119,207,,서울특별시 송파구 오금동 95-1 이화빌딩 ,서울특별시 송파구 중대로 320, 이화빌딩 1층 (오금동),5720,준동물병원,2.02008E+13,U,40:00.0,,211776.3599,445161.7295,동물병원,,,0,,,
3230000,3.23E+17,20030605,,3,폐업,2,폐업,20030605,,,,,0,,서울특별시 송파구 방이동 114-5번지 ,서울특별시 송파구 오금로 169 (방이동),,패미페츠동물병원,2.00306E+13,I,59:59.0,,209966.3849,445301.7677,동물병원,,,0,,,,
3230000,3.23E+17,20030610,,3,폐업,2,폐업,20031204,,,,413-7119,0,,서울특별시 송파구 방이동 114-5  번지 1.2층 ,,,(주)패미페츠동물병원,2.00312E+13,I,59:59.0,,,,동물병원,,,L00,,,,
3230000,3.23E+17,20030218,,3,폐업,2,폐업,20030607,,,,,120,,서울특별시 송파구 방이동 114-5  번지 ,,,패미페츠동물병원,2.00306E+13,I,59:59.0,,,,동물병원,,,,,,,
3230000,3.23E+17,20030604,,3,폐업,2,폐업,20030605,,,,,0,,서울특별시 송파구 방이동 114-5  번지 ,,,패미페츠동물병원,2.00306E+13,I,59:59.0,,,,동물병원,,,,,,,
3230000,3.23E+17,20030604,,3,폐업,2,폐업,20030605,,,,413-7119,0,,서울특별시 송파구 방이동 114-5번지 ,서울특별시 송파구 오금로 169 (방이동),,페미페츠동물병원,2.01507E+13,I,59:59.0,,209966.3849,445301.7677,동물병원,,,0,,,,
3230000,3.23E+17,20030605,,3,폐업,2,폐업,20030605,,,,413-7119,123,,서울특별시 송파구 방이동 114-5  번지 ,,,페미페츠동물병원,2.00306E+13,I,59:59.0,,,,동물병원,,,,,,,
3230000,3.23E+17,20030730,,3,폐업,2,폐업,20120917,,,,420-8133,0,,서울특별시 송파구 송파동 143-7번지 ,서울특별시 송파구 백제고분로46길 41-12 (송파동),,(주)한국동물임상연구소,2.01209E+13,I,59:59.0,,210174.7731,445002.2358,동물병원,,,L00,,,,
3230000,3.23E+17,20031209,,3,폐업,2,폐업,20041213,,,,413-7119,0,,,충청남도 예산군 예산읍 아리랑로 93-10, 109동 1층 3호,32432,(주)패미프랜동물병원,2.01507E+13,I,59:59.0,,185783.285,354066.5337,동물병원,,,L00,,,
3230000,3.23E+17,20040203,,1,영업/정상,0,정상,,,,,409-7533,149,,서울특별시 송파구 가락동 175-14번지 연암빌딩 ,서울특별시 송파구 오금로 422, 연암빌딩 1층 (가락동),5770,에버펫 동물병원,2.01912E+13,U,40:00.0,,212024.6305,443845.0049,동물병원,,,0,,,
3230000,3.23E+17,20040821,,3,폐업,2,폐업,20090219,,,,3401-7588,70,,서울특별시 송파구 문정동 11-8번지 지상1층 ,서울특별시 송파구 송이로32길 16 (문정동,지상1층),,서울동물병원,2.01507E+13,I,59:59.0,,211216.8768,442963.9276,동물병원,,,0,,,
3230000,3.23E+17,20040913,,3,폐업,2,폐업,20120227,,,,428-8778,44,,서울특별시 송파구 문정동 150-2번지 지하3층 ,서울특별시 송파구 중대로 80 (문정동,지하3층),,펫,알엔티 동물병원,2.01507E+13,I,59:59.0,,210343.6993,443288.285,동물병원,,,0,,
3230000,3.23E+17,20041013,,1,영업/정상,0,정상,,,,,415-7114,296.69,,서울특별시 송파구 송파동 146-6 ,서울특별시 송파구 가락로 210, 1층 101호 (송파동),5671,송이종합동물병원,2.02106E+13,U,40:00.0,,210230.9221,444982.6233,동물병원,,,0,,,
3230000,3.23E+17,20041122,,1,영업/정상,0,정상,,,,,02-470-7905,0,,서울특별시 송파구 풍납동 403-9 웅산빌딩,서울특별시 송파구 올림픽로47길 20, 웅산빌딩 (풍납동),5537,씨밀레동물병원,2.02207E+13,U,07:00.0,,210247.7171,447380.1814,,,,,,,
3230000,3.23E+17,20050124,,3,폐업,2,폐업,20111209,,,,412-5657,0,,서울특별시 송파구 방이동 212-19번지 지상1층 ,서울특별시 송파구 오금로31길 41 (방이동,지상1층),,오륜동물병원,2.01401E+13,I,59:59.0,,210816.2035,445257.5168,동물병원,,,0,,,
3230000,3.23E+17,20050506,,3,폐업,2,폐업,20061211,,,,,0,,서울특별시 송파구 송파동 162번지 삼성레미안(아)상가 101동 106호 ,서울특별시 송파구 오금로32길 14 (송파동,삼성레미안(아)상가 101동 106호),,사랑가득동물병원,2.01507E+13,I,59:59.0,,210423.605,444729.5928,동물병원,,,0,,,
3230000,3.23E+17,20050526,,3,폐업,2,폐업,20110715,,,,2203-0049,64.8,,서울특별시 송파구 잠실동 40번지 지하 136-11 ,서울특별시 송파구 올림픽로 212 (잠실동,지하 136-11),,쿨펫동물병원,2.01507E+13,I,59:59.0,,208233.927,445435.2576,동물병원,,,0,,,
3230000,3.23E+17,20051026,,3,폐업,2,폐업,20080820,,,,3431-6007,0,,서울특별시 송파구 석촌동 1-1번지 신동아로잔뷰 상가 114호 ,,,로잔동물병원,2.01507E+13,I,59:59.0,,208570.2306,444895.8835,동물병원,,,0,,,,
3230000,3.23E+17,20060125,,1,영업/정상,0,정상,,,,,413-7514,0,,서울특별시 송파구 송파동 58-4번지 레이크 해모로 105호,서울특별시 송파구 오금로 126, 105호 (송파동, 레이크 해모로),5618,호수동물병원,2.01904E+13,U,40:00.0,,209549.2084,445465.168,동물병원,,,0,,
3230000,3.23E+17,20070215,,3,폐업,2,폐업,20171031,,,,3432-7533,0,,,서울특별시 송파구 백제고분로 270 (삼전동),5585,동산동물병원,2.0171E+13,I,59:59.0,,208442.335,444446.821,동물병원,,,0,,,,
3230000,3.23E+17,20070302,,3,폐업,2,폐업,20110225,,,,2202-0344,131,,서울특별시 송파구 잠실동 250-13번지 지상2층 ,서울특별시 송파구 백제고분로 181 (잠실동,지상2층),,최재호한방동물병원,2.01507E+13,I,59:59.0,,207629.8129,444741.8907,동물병원,,,0,,,
3230000,3.23E+17,20070314,,3,폐업,2,폐업,,,,,422-3379,0,,서울특별시 송파구 잠실동 252-6 태영빌딩 ,서울특별시 송파구 삼전로 85, 태영빌딩 1층 (잠실동),5566,KYH웰빙동물병원,2.02111E+13,U,40:00.0,,207821.7533,444896.0527,동물병원,,,0,0,,
