번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
1,동물약국,02_03_02_P,3000000,3E+17,20160831,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,,서울특별시 종로구 자하문로17길 23 (통인동),3036,행복한약국,2.01611E+13,I,59:59.0,,197229.0245,453222.0037,동물약국,,0,
2,동물약국,02_03_02_P,4690000,4.69E+17,20120911,,4,취소/말소/만료/정지/중지,4,말소,,,,,063-531-4222,330,,전라북도 정읍시 수성동 533-1,전라북도 정읍시 남북로 48 (수성동),56163,세계로약국,2.02207E+13,U,40:00.0,,186486.1056,229942.7822,동물약국,,0,0
3,동물약국,02_03_02_P,4520000,4.52E+17,20140404,,4,취소/말소/만료/정지/중지,4,말소,,,,,041-549-3003,0,,충청남도 아산시 온천동 218-9번지,충청남도 아산시 온천대로 1474 (온천동),31513,아산조은약국,2.0141E+13,I,59:59.0,,200056.5794,364479.8302,동물약국,,0,
4,동물약국,02_03_02_P,4050000,5.63E+17,20170511,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경기도 용인시 기흥구 상갈동 481-1번지,"경기도 용인시 기흥구 금화로11번길 42 (상갈동, 상갈프라자)",17073,나래약국,2.01705E+13,I,59:59.0,,209552.2307,417934.5331,동물약국,,0,
5,동물약국,02_03_02_P,3520000,3.52E+17,20190226,,4,취소/말소/만료/정지/중지,4,말소,,,,,032-822-1718,0,,인천광역시 연수구 송도동 190-4번지 송도 더샵 센트럴시티,"인천광역시 연수구 송도국제대로 261, 상가동 1층 114호 (송도동, 송도 더샵 센트럴시티)",21986,송도센트럴약국,2.01902E+13,I,21:34.0,,169035.6495,430257.8772,동물약국,,0,
6,동물약국,02_03_02_P,3910000,3.91E+17,20190604,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경기도 평택시 동삭동 852 평택센트럴자이 3단지,"경기도 평택시 상서재로 55 (동삭동, 평택센트럴자이 3단지)",17845,열린온누리약국,2.02105E+13,U,40:00.0,,,,동물약국,,0,
7,동물약국,02_03_02_P,4050000,5.63E+17,20190409,,4,취소/말소/만료/정지/중지,4,말소,,,,,031-284-4922,0,,경기도 용인시 기흥구 중동 829번지,"경기도 용인시 기흥구 동백중앙로 283, A동 304호 (중동)",17006,정다운약국,2.01904E+13,I,20:19.0,,213551.0372,419536.0143,동물약국,,0,
8,동물약국,02_03_02_P,3560000,3.56E+17,20140219,,4,취소/말소/만료/정지/중지,4,말소,,,,,579-4456,0,,인천광역시 서구 석남동 576번지,인천광역시 서구 가정로 204 (석남동),22796,정다운동물약국,2.01507E+13,I,59:59.0,,170952.6881,444578.5744,동물약국,,0,
9,동물약국,02_03_02_P,3560000,3.56E+17,20140313,,4,취소/말소/만료/정지/중지,4,말소,,,,,518-2243,0,,인천광역시 서구 경서동 958-1번지,"인천광역시 서구 청라커낼로 252, A동 140호 (경서동, (경서동 롯데캐슬))",22762,마트약국,2.01403E+13,I,59:59.0,,168725.0449,447687.558,동물약국,,0,
10,동물약국,02_03_02_P,3560000,3.56E+17,20140521,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,인천광역시 서구 연희동 682-17번지,인천광역시 서구 서곶로369번길 24 (연희동),22720,연희연세약국,2.01405E+13,I,59:59.0,,171129.9516,449862.7628,동물약국,,0,
