동물병원,지역,소재지,연락처,데이터기준일자
노형동물병원,노형동,제주특별자치도 제주시 1100로 3123-27,064-759-7975,2021-08-31
브이동물메디컬센터,노형동,제주특별자치도 제주시 노형14길 14,064-803-0038,2021-08-31
예서동물병원,노형동,제주특별자치도 제주시 수덕로 13,064-749-1801,2021-08-31
이룸동물병원,노형동,제주특별자치도 제주시 월광로 51,064-748-2838,2021-08-31
해맑은동물병원,노형동,제주특별자치도 제주시 한라대학로 75,064-742-1868,2021-08-31
노형꿈동물병원,노형동,제주특별자치도 제주시 월광로 32,064-749-1128,2021-08-31
리더스동물병원,연동,제주특별자치도 제주시 노연로 131,064-749-7533,2021-08-31
웰니스동물병원,연동,제주특별자치도 제주시 도령로 136,064-711-7572,2021-08-31
24시똑똑똑 동물메디컬센터,연동,제주특별자치도 제주시 도령로 129,064-749-7585,2021-08-31
서사라동물병원,삼도1동,제주특별자치도 제주시 서사로 148-1,064-702-1275,2021-08-31
24시동물병원,도남동,제주특별자치도 제주시 연삼로 353,064-702-2475,2021-08-31
한사랑동물병원,아라1동,제주특별자치도 제주시 인다10길 31,064-747-3000,2021-08-31
다나동물병원,일도1동,제주특별자치도 제주시 동광로 119,064-757-7577,2021-08-31
이소영동물병원,일도1동,제주특별자치도 제주시 연삼로 518,064-722-3375,2021-08-31
한라동물종합병원,일도1동,제주특별자치도 제주시 고마로 37,064-753-0880,2021-08-31
푸른동물병원,이도1동,제주특별자치도 제주시 서광로 293,064-758-2013,2021-08-31
제주키움동물병원,이도2동,제주특별자치도 제주시 중앙로 273,064-725-7579,2021-08-31
한라동물의료센터,이도2동,제주특별자치도 제주시 남광로 20,064-725-7577,2021-08-31
해밀동물병원,이도2동,제주특별자치도 제주시 연신로 85,064-744-7582,2021-08-31
삼화훈동물병원,화북1동,제주특별자치도 제주시 동화로 12,064-756-8275,2021-08-31
이의종동물병원,한림읍,제주특별자치도 제주시 한림읍 한림로 12길 19,064-796-2045,2021-08-31
한수풀동물병원,한림읍,제주특별자치도 제주시 한림읍 한림로 655,064-796-4451,2021-08-31
