사업장명칭,사업장소재지,전화번호,데이터기준일자
365건강온누리약국,제주특별자치도 제주시 서광로 297,,2021-03-08
가까운약국,제주특별자치도 제주시 원노형남1길 11,064-745-6188,2021-03-08
가정온누리약국,제주특별자치도 제주시 우정로 57 ,064-711-5275,2021-03-08
건강드림약국,제주특별자치도 제주시 도령로 1,064-744-0369,2021-03-08
건강약국,제주특별자치도 제주시 구좌읍 세화12길 1,064-784-5040,2021-03-08
건강한약국,제주특별자치도 제주시 서사로 155 ,064-722-2004,2021-03-08
고승아약국,제주특별자치도 제주시 동광로 131 ,064-726-6988,2021-03-08
곰온누리약국,제주특별자치도 제주시 애월읍 하귀9길 2,,2021-03-08
광주약국,제주특별자치도 제주시 국기로 7,064-712-7116,2021-03-08
구좌약국,제주특별자치도 제주시 구좌읍 구좌로 40,064-782-8875,2021-03-08
굿모닝약국,제주특별자치도 제주시 연북로 40 ,064-711-8995,2021-03-08
나라약국,제주특별자치도 제주시 조천읍 신북로 523,064-782-3700,2021-03-08
낙산약국,제주특별자치도 제주시 도령로 87,064-744-2688,2021-03-08
남문약국,제주특별자치도 제주시 중앙로 132 ,064-751-9967,2021-03-08
노형온누리약국,제주특별자치도 제주시 월랑로 3 ,064-744-4880,2021-03-08
녹십자약국,제주특별자치도 제주시 한림읍 한림중앙로 4,064-796-9001,2021-03-08
뉴제주약국,제주특별자치도 제주시 연동8길 8 ,064-752-5244,2021-03-08
뉴제주프린스약국,제주특별자치도 제주시 삼무로 27 ,064-748-0093,2021-03-08
다정온누리약국,제주특별자치도 제주시 건주로 33,064-723-1923,2021-03-08
대동약국,제주특별자치도 제주시 애월읍 일주서로 6691,064-799-8808,2021-03-08
대원약국,제주특별자치도 제주시 동광로 122 ,064-727-1190,2021-03-08
대학약국,제주특별자치도 제주시 중앙로 611 ,064-722-3033,2021-03-08
대한약국,제주특별자치도 제주시 조천읍 조함해안로 488-6,064-784-3432,2021-03-08
더건강한약국,제주특별자치도 제주시 한라대학로 77-1 ,,2021-03-08
더블유스토어 이도약국,제주특별자치도 제주시 중앙로 366 ,,2021-03-08
더한빛약국,제주특별자치도 제주시 중앙로 380,064-901-0230,2021-03-08
둘셋약국,제주특별자치도 제주시 연삼로 395,064-722-3388,2021-03-08
로하스약국,제주특별자치도 제주시 일주동로 250 ,064-901-7298,2021-03-08
