업체명,소재지,데이터기준일자
이시돌농촌산업개발협회 사료공장,제주특별자치도 제주시 한림읍 한림해안로 180,2020-01-31
가치함께주식회사,제주특별자치도 제주시 진동로 61,2020-01-31
건풍바이오,제주특별자치도 제주시 한림읍 금능농공길 62,2020-01-31
고려물산,제주특별자치도 제주시 월산남길 284 ,2020-01-31
그린팜영농조합법인,제주특별자치도 제주시 애월읍 애원로 361,2020-01-31
농업회사법인 제동팜 주식회사,제주특별자치도 제주시 청풍남8길 62-1 ,2020-01-31
농업회사법인 해림,제주특별자치도 제주시 조천읍 번영로 977-8,2020-01-31
농업회사법인제우,제주특별자치도 제주시 청풍남8길 62-1 ,2020-01-31
누리향,제주특별자치도 제주시 구좌읍 상도로 225-29,2020-01-31
대해수,제주특별자치도 제주시 한경면 두모9길 2-32,2020-01-31
더정글,제주특별자치도 제주시 애월읍 유수암평화길 139,2020-01-31
도기키친 프롬제주,제주특별자치도 제주시 원노형7길 10,2020-01-31
동아원제주대리점,제주특별자치도 제주시 삼봉로 47 ,2020-01-31
로빈,제주특별자치도 제주시 한경면 청수서5길 53,2020-01-31
명가 뉴트리셔널 서프러먼트,제주특별자치도 제주시 애월읍 평화로 2369,2020-01-31
미래식품이야기,제주특별자치도 제주시 연수로1길 4,2020-01-31
바비쥬 PETFOOD,제주특별자치도 제주시 삼무로 19,2020-01-31
바이오랩 주식회사,제주특별자치도 제주시 애월읍 해암이길 215,2020-01-31
세상생명영농조합법인,제주특별자치도 제주시 구좌읍 상도로 225-5,2020-01-31
슈퍼말이요,제주특별자치도 제주시 산천단남2길 77 ,2020-01-31
시그마바이오켐,제주특별자치도 제주시 한림읍 일주서로 5256,2020-01-31
씨앤제이교역,제주특별자치도 제주시 도공로 14-9,2020-01-31
어업회사법인 블루오션,제주특별자치도 제주시 구좌읍 일주동로 2708-19,2020-01-31
어업회사법인 주식회사 제이앤씨 바이오,제주특별자치도 제주시 제주대학로 102,2020-01-31
어업회사법인 주식회사 제이앤씨 바이오,제주특별자치도 제주시 한림읍 수원13길 66-1,2020-01-31
어업회사법인 피시트리,제주특별자치도 제주시 용담로5길 19 ,2020-01-31
에코마린제주,제주특별자치도 제주시 조천읍 선교로 66,2020-01-31
영 인터내셔날,제주특별자치도 제주시 중산간동로 926,2020-01-31
영농조합법인 그린제주,제주특별자치도 제주시 한림읍 광산로 729,2020-01-31
용바이오,제주특별자치도 제주시 애월읍 고성북길 78,2020-01-31
유한회사 제주 블러드스톡,제주특별자치도 제주시 한림읍 산록남로 53,2020-01-31
이지바이오텍,제주특별자치도 제주시 애월읍 광성로 194,2020-01-31
인성 바이오틱,제주특별자치도 제주시 수덕9길 65 ,2020-01-31
인화 인터내셔날,제주특별자치도 제주시 서광로 228,2020-01-31
제주댕댕스푼,제주특별자치도 제주시 구좌읍 일주동로 2973,2020-01-31
제주맥주주식회사,제주특별자치도 제주시 한림읍 금능농공길 62-11,2020-01-31
제주벅스코리아,제주특별자치도 제주시 용문로 127 ,2020-01-31
제주양돈축산업협동조합 청정배합사료공장,제주특별자치도 제주시 한림읍 금능농공길 111,2020-01-31
제주어류양식수산업협동조합 친환경사료사업본부,제주특별자치도 제주시 한림읍 월각로 506-9,2020-01-31
제주어류양식수협 서부사업소,제주특별자치도 제주시 상대6길 151,2020-01-31
제주어류양식수협 서부사업소,제주특별자치도 제주시 한림읍 상대6길 151,2020-01-31
제주어류양식수협 친환경사료사업본부,제주특별자치도 제주시 한림읍 월각로 506-9,2020-01-31
제주축산업협동조합,제주특별자치도 제주시 한림읍 한창로 1015,2020-01-31
제주축협 유가공공장,제주특별자치도 제주시 한림읍 한창로 1015,2020-01-31
제주특별자치도개발공사,제주특별자치도 제주시 한림읍 월림7길 58,2020-01-31
주식회사 글리칸코드,제주특별자치도 제주시 제주대학로 102,2020-01-31
주식회사 새진비앤씨,제주특별자치도 제주시 산천단동길 16,2020-01-31
주식회사 송이산업,제주특별자치도 제주시 한림읍 명상로 106-7,2020-01-31
주식회사 인터퓨어,제주특별자치도 제주시 한림읍 일주서로 5855,2020-01-31
주식회사 일해,제주특별자치도 제주시 조천읍 함와로 321,2020-01-31
주식회사 팜스코 제주공장,제주특별자치도 제주시 화남로 52 ,2020-01-31
준원수산질병관리원,제주특별자치도 제주시 삼성로16길 1 ,2020-01-31
지티글로벌,제주특별자치도 제주시 애월읍 엄수로 63,2020-01-31
천지애협동조합,제주특별자치도 제주시 고산동산1길 9 ,2020-01-31
크린바이오 제주지점,제주특별자치도 제주시 제주대학로 102,2020-01-31
탐모라바이오 농업법인 주식회사,제주특별자치도 제주시 임항로 80 ,2020-01-31
펌-리서치,제주특별자치도 제주시 애월읍 장전로 171,2020-01-31
펍타운,제주특별자치도 제주시 해안마을길 134 ,2020-01-31
한라산업,제주특별자치도 제주시 한림읍 금능농공길 48-20,2020-01-31
