제조업체명,사료종류,성분등록번호,사료명,사료성분명,사료성분량,데이터기준일자
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,조지방,30% 이하,2019-11-25
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,조단백질,50% 이상,2019-11-25
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,수분,20% 이하,2019-11-25
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,조회분,2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,조지방,37.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,조단백질,32.9% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,수분,34.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,조회분,22.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,조지방,16.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,조단백질,40.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,수분,42.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,조회분,3.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,조지방,3.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,조단백질,51.9% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,수분,39.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,조회분,4.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조지방,7.2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조단백질,9.5% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,수분,68.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조섬유,0.2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조회분,3.8% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,조지방,1.5% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,조단백질,55% 이상,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,수분,30% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,조회분,5% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,조지방,3.1% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,조단백질,56.8% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,수분,26.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,조회분,5.4% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,조지방,30.3% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,조단백질,31.9% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,수분,24.7% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,조회분,19.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,조지방,14.8% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,조단백질,32.5% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,수분,49.8% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,조회분,4.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조지방,8.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조단백질,17.0% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,수분,57.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조섬유,1.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조회분,1.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,조지방,2.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,조단백질,14.0% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,수분,59.1% 이하,2019-11-25
