읍면동(법정동),등록주체(시군구),등록주체(대행업체),등록주체(기타),RFID종류(내장형),RFID종류(외장형),RFID종류(인식표),등록 품종수,동물소유자수,동물소유자당 동물등록수,미승인,반려
원동,18,426,0,240,182,22,41,335,1,0,1
인동,0,15,0,3,12,0,7,10,2,0,0
가현동,3,40,0,21,18,4,14,27,2,0,0
개운동,26,864,0,494,366,30,56,678,1,0,3
관설동,28,710,0,396,300,42,46,552,1,0,0
귀래면,18,84,0,47,28,27,32,64,2,0,0
단계동,86,2167,0,1387,750,116,76,1688,1,2,12
단구동,117,2723,0,1468,1191,181,82,2160,1,0,7
명륜동,44,1552,2,903,629,66,71,1242,1,0,1
무실동,71,1534,1,893,614,99,64,1252,1,0,3
문막읍,36,1185,0,711,461,49,70,863,1,3,4
반곡동,78,1269,0,799,455,93,64,1018,1,0,8
봉산동,20,577,0,315,262,20,48,419,1,0,3
부론면,1,54,0,26,28,1,17,41,1,0,0
소초면,64,484,1,288,193,68,43,369,1,0,2
신림면,19,185,0,103,78,23,37,118,2,0,2
우산동,16,777,0,490,261,42,55,611,1,1,8
일산동,20,671,0,382,276,33,49,520,1,0,1
중앙동,0,35,1,13,21,2,16,31,1,0,0
지정면,95,964,2,640,287,134,69,739,1,1,5
태장동,70,2033,0,1167,803,133,68,1551,1,0,9
판부면,45,544,0,327,213,49,49,399,1,0,1
평원동,2,28,0,18,11,1,14,26,1,0,0
학성동,8,473,0,273,183,25,47,326,1,0,0
행구동,18,518,0,302,215,19,48,383,1,0,2
호저면,20,176,2,104,64,30,35,123,2,0,0
흥업면,39,511,0,269,224,57,58,368,1,0,4
