구별,동별,사업장명,인허가일자,소재지도로명주소,소재지지번주소,전화번호
수정구,고등동,별약국,2021-01-26,"경기도 성남시 수정구 청계산로 689, 1층 103호 (고등동)",경기도 성남시 수정구 고등동 593-6,
수정구,고등동,고등중앙약국,2021-02-03,"경기도 성남시 수정구 청계산로 695, 1층 107호 (고등동)",경기도 성남시 수정구 고등동 597,
중원구,하대원동,한빛약국,2020-12-08,"경기도 성남시 중원구 둔촌대로 274, 1층 124호 (하대원동, 태연스카이빌)",경기도 성남시 중원구 하대원동 143-1 태연스카이빌,
중원구,은행동,태평양약국,2021-01-25,"경기도 성남시 중원구 산성대로 530, 1층 (은행동)",경기도 성남시 중원구 은행동 984,
수정구,창곡동,서일약국,2021-02-04,"경기도 성남시 수정구 위례서일로 22, 이너매스우남 1층 116호 (창곡동)",경기도 성남시 수정구 창곡동 559-5 이너매스우남,
수정구,신흥동,플러스약국,2021-01-29,"경기도 성남시 수정구 수정로 162, 1층 (신흥동)",경기도 성남시 수정구 신흥동 5533,
중원구,은행동,월드옵티마약국,2021-01-06,"경기도 성남시 중원구 순환로465번길 27, 1층 (은행동)",경기도 성남시 중원구 은행동 628,
분당구,수내동,휴베이스봄약국,2020-12-30,"경기도 성남시 분당구 내정로 172, 상지상가빌딩 1층 102호 (수내동)",경기도 성남시 분당구 수내동 58-2 상지상가빌딩,031-711-0995
분당구,야탑동,홈케어굿모닝약국,2020-12-30,"경기도 성남시 분당구 야탑로69번길 3, 강남프라자 101-105호일부, 204호 (야탑동)",경기도 성남시 분당구 야탑동 354-6 강남프라자,
분당구,분당동,분당우리약국,2020-11-24,"경기도 성남시 분당구 장안로 27, SNH타워 1층 101호 (분당동)",경기도 성남시 분당구 분당동 90-6 SNH타워,
수정구,태평동,태평종로약국,2020-12-24,경기도 성남시 수정구 탄리로 120 (태평동),경기도 성남시 수정구 태평동 3174,
분당구,정자동,꽃피는온누리약국,2020-11-30,"경기도 성남시 분당구 성남대로331번길 3-13, 대명제스트빌딩 308일부호 (정자동)",경기도 성남시 분당구 정자동 156-3 대명제스트빌딩,
분당구,금곡동,365그린약국,2020-12-21,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 2층 231호 (금곡동)",경기도 성남시 분당구 금곡동 161 천사의도시1 오피스텔,
수정구,신흥동,태평양약국,2021-01-05,"경기도 성남시 수정구 수정로 184, 1층 (신흥동)",경기도 성남시 수정구 신흥동 5509,
수정구,태평동,성남사랑약국,2020-12-10,"경기도 성남시 수정구 수정로 201 (태평동, 신세계쉐덴)",경기도 성남시 수정구 태평동 7336 신세계쉐덴,
분당구,정자동,분당그린약국,2020-12-15,"경기도 성남시 분당구 정자일로 100, 상가동 1층 106호 (정자동, 미켈란쉐르빌)",경기도 성남시 분당구 정자동 180 미켈란쉐르빌,
