"읍,면,동",등록형태(내장형 RFID),등록형태(외장형RFID),등록형태(인식표),등록 품종수,동물소유자수,등록동물수,동물소유자당 동물등록수,데이터기준일자
조치원읍,787,815,404,58,1441,2006,1.39,2020-12-10
연기면,37,41,11,25,68,89,1.31,2020-12-10
연동면,41,42,22,25,68,105,1.54,2020-12-10
부강면,91,62,20,31,137,173,1.26,2020-12-10
금남면,148,97,78,43,201,323,1.61,2020-12-10
연서면,82,101,39,42,148,222,1.5,2020-12-10
전의면,52,55,24,34,98,131,1.34,2020-12-10
전동면,55,60,24,26,64,139,2.17,2020-12-10
소정면,33,17,11,21,49,61,1.24,2020-12-10
장군면,169,146,42,46,212,357,1.68,2020-12-10
새롬동,323,227,98,43,509,648,1.27,2020-12-10
한솔동,301,321,69,46,571,691,1.21,2020-12-10
보람동,188,150,69,39,324,407,1.26,2020-12-10
반곡동,79,60,32,28,133,171,1.29,2020-12-10
소담동,203,141,85,37,339,429,1.27,2020-12-10
대평동,111,86,31,37,174,228,1.31,2020-12-10
아름동,286,232,91,51,500,609,1.22,2020-12-10
도담동,349,242,75,49,551,666,1.21,2020-12-10
고운동,525,429,156,58,857,1110,1.3,2020-12-10
종촌동,453,270,147,52,662,870,1.31,2020-12-10
어진동,72,47,14,29,116,133,1.15,2020-12-10
가람동,0,0,0,0,0,0,0,2020-12-10
나성동,52,25,11,24,74,88,1.19,2020-12-10
다정동,314,180,62,49,444,556,1.25,2020-12-10
