영업의종류,영업장명칭,소재지주소(도로명),소재지전화
동물판매업(일반),야옹아 멍멍해봐,"부산광역시 북구 화명대로 20, 103호 (화명동, 대성빌딩)",051-365-0053
동물판매업(일반),우다다애견카페,부산광역시 북구 금곡대로 302 (화명동),051-365-7222
동물판매업(일반),그루밍선데이,부산광역시 북구 시랑로 16 (구포동),
동물판매업(일반),애견마을,부산광역시 북구 산성로 41 (화명동),051-363-8089
동물판매업(일반),롯데마트 화명점,"부산광역시 북구 화명대로 47, 롯데마트 2층 (화명동)",051-806-8990
동물판매업(일반),바니펫살롱,"부산광역시 북구 만덕1로 49, 휴먼시아아파트 상가동 201호 (만덕동)",
동물판매업(일반),피쉬플라넷,"부산광역시 북구 금곡대로 469, 농협하나로클럽 (금곡동)",
동물판매업(일반),플랜츠비,"부산광역시 북구 의성로 111, 청진빌딩 (덕천동)",
동물판매업(일반),젠느켄넬(Jeune Kennel),"부산광역시 북구 금곡대로285번길 40, 한빛프라자 (화명동)",
동물판매업(일반),여울목 아쿠아,"부산광역시 북구 시랑로83번길 40-2, 지하1층 102호 (구포동)",
동물판매업(일반),마마스미독 강아지분양 부산덕천점,부산광역시 북구 만덕대로40번길 57(덕천동),
동물판매업(일반),도그마루 강아지 고양이 부산 화명점,"부산광역시 북구 금곡대로 276, 2층 (화명동)",
동물전시업,감자랑 커피랑,"부산광역시 북구 백양대로 1198, 3층 (구포동)",051-466-1276
동물전시업,피터펫 애견카페 부산북구점,"부산광역시 북구 백양대로 1163, 3층 (구포동)",051-710-7110
동물위탁관리업,유동물의료센터,"부산광역시 북구 만덕대로 41, 2층 (덕천동)",051-343-7566
동물위탁관리업,나라애견,부산광역시 북구 팽나무로 2 (구포동),051-336-0790
동물위탁관리업,애견스토리,"부산광역시 북구 시랑로 64, 1층 (구포동)",051-333-5740
동물위탁관리업,아지다펫,"부산광역시 북구 만덕대로78번길 22, 1층 (덕천동)",051-341-3400
동물위탁관리업,슈에뜨시앙,"부산광역시 북구 덕천로 217-1, 1층 (만덕동)",
동물위탁관리업,하나동물병원,"부산광역시 북구 금곡대로 469, 농협하나로클럽 3층 (금곡동)",051-337-0975
동물위탁관리업,깍까독,"부산광역시 북구 낙동대로1762번길 45, 구포농협중앙지소 (구포동)",051-342-0399
동물위탁관리업,해피몽,"부산광역시 북구 만덕대로 141, 삼정그린코아아파트 상가4동 108호 (덕천동)",051-331-0633
동물위탁관리업,야옹아 멍멍해봐,"부산광역시 북구 화명대로 20, 대성빌딩 103호 (화명동)",051-365-0053
동물위탁관리업,백평애견용품 백화점,"부산광역시 북구 학사로 112, 1층 (화명동)",051-365-4900
동물위탁관리업,행복한 동물병원,"부산광역시 북구 금곡대로 344, 화명빌딩 2층 202호 (화명동)",051-363-7593
동물위탁관리업,로이네 애견호텔,"부산광역시 북구 만덕대로 178, 3층 (덕천동)",051-331-5384
동물위탁관리업,카이저 동물병원,"부산광역시 북구 금곡대로 182, 새마을금고 1층 (화명동)",051-361-7582
동물위탁관리업,노아 동물병원,"부산광역시 북구 금곡대로 175, 207동 201호 (화명동, 화명2차동원로얄듀크비스타)",051-343-7588
동물위탁관리업,뽀대난 멍냥이,"부산광역시 북구 덕천로 358-1, 1층 (만덕동)",
동물위탁관리업,바니펫살롱,"부산광역시 북구 만덕1로 49, 휴먼시아아파트 상가동 201호 (만덕동)",
동물위탁관리업,멍멍이네,"부산광역시 북구 덕천로259번길 30, 108동 104호 (만덕동, 대성타워맨션)",051-334-0070
동물위탁관리업,도담도담 grooming shop,"부산광역시 북구 화명신도시로 8, 거림빌딩 201-2호 (화명동)",
동물위탁관리업,피터펫 애견카페 부산북구점,"부산광역시 북구 백양대로 1163, 3층 (구포동)",051-710-7110
동물위탁관리업,호텔스컴도그 화명점,"부산광역시 북구 화명대로12번길 79, 2층 (화명동)",051-363-0010
동물위탁관리업,도그마루 강아지 고양이 부산 화명점,"부산광역시 북구 금곡대로 276, 2층 (화명동)",
