연번,사업장명칭,사업장소재지,소재지전화,우편번호
1,용산동물약국,"서울특별시 용산구 두텁바위로1길 107, 1층 105호 (후암동)",02-771-5685,4333
2,메디팜 미래로 약국,서울특별시 용산구 청파로47길 40 (청파동2가),02-713-8716,4309
3,이층성장약국,서울특별시 용산구 이촌로 224 (이촌동),02-792-7881,4427
4,남선약국,"서울특별시 용산구 원효로 166, 103호 (원효로2가, 원효아파트)",02-798-7460,4366
5,가장큰태평양약국,"서울특별시 용산구 대사관로 52, 1층 (한남동)",02-790-3376,4402
6,이촌프라자약국,서울특별시 용산구 이촌로88길 3 (이촌동),,4425
7,메디팜나은약국,"서울특별시 용산구 한강대로 211, 1층 110호 (한강로1가, 대우 월드마크 용산)",02-373-8068,4322
8,보현약국,"서울특별시 용산구 신흥로20길 1 (용산동2가, 세명치과)",02-775-1981,4328
9,정화약국,"서울특별시 용산구 두텁바위로 11 (갈월동, 일심외과의원, 정화약국)",02-774-2399,4335
10,한라약국,서울특별시 용산구 보광로 124 (이태원동),02-795-7603,4406
