연번,견종,등록마리 (마리)
1,골든 리트리버,182
2,그레이 하운드,14
3,그레이트 덴,0
4,그레이트 피레니즈,11
5,꼬똥 드 뚤레아,74
6,네오폴리탄 마스티프,0
7,노르포크 테리어,0
8,노리치 테리어,3
9,뉴펀들랜드,0
10,닥스훈트,552
11,달마시안,7
12,댄디 딘몬트 테리어,0
13,도고 까니리오,0
14,도고 아르젠티노,1
15,도베르만,20
16,도사,0
17,동경견,2
18,라브라도 리트리버,168
19,라사 압소,12
20,라이카,3
21,래빗 닥스훈드,0
22,랫 테리어,0
23,레이크랜드 테리어,4
24,로디지안 리즈백,6
25,로트와일러,9
26,마리노이즈,2
27,마스티프,0
28,말라뮤트,11
29,말티즈,6949
30,맨체스터테리어,0
31,미니어쳐 닥스훈트,7
32,미니어쳐 불 테리어,0
33,미니어쳐 슈나우저,82
34,미니어쳐 푸들,73
35,미니어쳐 핀셔,324
36,미디엄 푸들,5
37,미텔 스피츠,1
38,믹스견,2698
39,바센지,0
40,바셋 하운드,2
41,버니즈 마운틴 독,5
42,베들링턴 테리어,69
43,벨기에 그로넨달,1
44,벨기에 쉽독,2
45,벨기에 테뷰런,0
46,벨지안 셰퍼드 독,3
47,보더 콜리,111
48,보르조이,4
49,보스턴 테리어,130
50,복서,2
51,볼로네즈,1
52,부비에 데 플랑드르,0
53,불 테리어,9
54,불독,25
55,브뤼셀그리펀,0
56,브리타니 스파니엘,2
57,블랙 테리어,0
58,비글,119
59,비숑 프리제,1745
60,비어디드 콜리,2
61,비즐라,0
62,빠삐용,114
63,사모예드,37
64,살루키,0
65,삽살개,21
66,샤페이,28
67,세인트 버나드,0
68,센트럴 아시안 오브차카,0
69,셔틀랜드 쉽독,87
70,셰퍼드,5
71,슈나우져,495
72,스코티쉬 테리어,17
73,스코티시 디어하운드,0
74,스태퍼드셔 불 테리어,0
75,스탠다드 푸들,35
76,스피츠,655
77,시바,277
78,시베리안 허스키,52
79,시베리안라이카,0
80,시잉프랑세즈,0
81,시츄,2087
82,시코쿠,0
83,실리햄 테리어,0
84,실키테리어,15
85,아나톨리안 셰퍼드,0
86,아메리칸 불독,1
87,아메리칸 스태퍼드셔 테리어,0
88,아메리칸 아키다,2
89,아메리칸 에스키모,0
90,아메리칸 코카 스파니엘,79
91,아메리칸 핏불 테리어,2
92,아메리칸불리,9
93,아이리쉬 레드 앤 화이트 세터,0
94,아이리쉬 세터,1
95,아이리쉬 울프 하운드,0
96,아이리쉬소프트코튼휘튼테리어,0
97,아키다,2
98,아프간 하운드,2
99,알라스칸 말라뮤트,7
100,에어델 테리어,0
101,오브차카,0
102,오스트랄리안 셰퍼드 독,4
103,오스트랄리안 캐틀 독,0
104,올드 잉글리쉬 불독,14
105,올드 잉글리쉬 쉽독,24
106,와이마라너,0
107,와이어 폭스 테리어,3
108,요크셔 테리어,1689
109,울프독,1
110,웨스트 시베리언 라이카,0
111,웨스트하이랜드화이트테리어,16
112,웰시 코기 카디건,32
113,웰시 코기 펨브로크,346
114,웰시 테리어,0
115,이탈리안 그레이 하운드,132
116,잉글리쉬 세터,3
117,잉글리쉬 스프링거 스파니엘,3
118,잉글리쉬 코카 스파니엘,35
119,잉글리쉬 포인터,1
120,자이언트 슈나우져,0
121,재패니즈 스피츠,32
122,잭 러셀 테리어,53
123,저먼 셰퍼드 독,4
124,저먼 와이어헤어드 포인터,0
125,저먼 포인터,0
126,저먼 헌팅 테리어,0
127,제주개,0
128,제페니즈칭,14
129,진도견,364
130,차우차우,17
131,차이니즈 크레스티드 독,3
132,치와와,1034
133,카레리안 베어독,0
134,카이훗,0
135,캐벌리어 킹 찰스 스파니엘,59
136,케니스펜더,1
137,케리 블루 테리어,0
138,케언 테리어,0
139,케인 코르소,7
140,코리아 트라이 하운드,0
141,코리안 마스티프,0
142,코카 스파니엘,459
143,코카 푸,4
144,코카시안오브차카,2
145,콜리,5
146,클라인스피츠,0
147,키슈,0
148,키스 훈드,0
149,토이 맨체스터 테리어,0
150,토이 푸들,550
151,티베탄 마스티프,1
152,파라오 하운드,0
153,파슨 러셀 테리어,1
154,팔렌,0
155,퍼그,63
156,페키니즈,229
157,페터데일테리어,1
158,포메라니안,2926
159,포인터,6
160,폭스테리어,10
161,푸들,5081
162,풀리,3
163,풍산견,26
164,프레사까나리오,0
165,프렌치 불독,239
166,프렌치 브리타니,1
167,플랫 코디드 리트리버,0
168,플롯하운드,0
169,피레니안 마운틴 독,0
170,필라 브라질레이로,0
171,핏불테리어,3
172,허배너스,0
173,화이트리트리버,0
174,화이트테리어,49
175,휘펫,9
176,기타,451
Total,,31492
