구분,사업장명칭,소재지주소,데이터기준일자,데이터담당부서,부서전화번호,
동물위탁관리업,스퀘어독스,"인천광역시 서구 담지로8번길 13, 1층 (연희동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,오펫,"인천광역시 서구 승학로 584, 힘찬프라자 105호 (검암동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,놀아주시개,"인천광역시 서구 건지로 391, 2,3층 (가좌동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,도그반하다,"인천광역시 서구 승학로 470, 106호 (검암동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,펫토피아,인천광역시 서구 청라커낼로 270 (경서동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,Just Grooming,"인천광역시 서구 청라커낼로288번길 8-10, 청라 봄 빌딩 B108호 (경서동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,동물에반하다동물병원,"인천광역시 서구 크리스탈로102번길 22, 101호 (경서동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,헤이도그,"인천광역시 서구 청라루비로144번길 6-4, 103호 (경서동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,으르렁,"인천광역시 서구 승학로 505, 4층 (검암동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,아리가독,"인천광역시 서구 신석로 52-1, 성림빌딩 (석남동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,착한퍼피,"인천광역시 서구 완정로178번길 37, 106호 (마전동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,헬로퍼피,"인천광역시 서구 완정로65번길 10, 검단1차 대주피오레아파트 b동 1층 113호 (마전동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,은별이네,"인천광역시 서구 중봉대로586번길 9-11, 청라매그놀리아오피스텔 207호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,루이펫살롱,"인천광역시 서구 탁옥로 105, 메인프라자1차 103호 (심곡동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,오드리 펫샵,"인천광역시 서구 청라커낼로 252, D동 109호 (청라동, 청라 롯데캐슬)",2022-09-05,경제정책과,032-560-1904,
