연번,구분,사업장명칭,소재지 도로명주소,소재지 지번주소,데이터기준일
1,동물판매업,개편한세상,인천광역시 중구 백운로 562 (운북동),인천광역시 중구 운북동 796-10 ,2022-08-19
2,동물판매업,(주)이마트 동인천점,인천광역시 중구 인중로 134 (신생동),,2022-08-19
3,동물판매업,서당개30년,인천광역시 중구 서해대로 464-1 (신흥동2가),인천광역시 중구 신흥동2가 17-10 ,2022-08-19
4,동물판매업,따루네 애견샵,인천광역시 중구 제물량로 150 (신포동),인천광역시 중구 신포동 18-4 ,2022-08-19
5,동물판매업,펫콤마,인천광역시 중구 영종순환로169번길 45-29 (중산동),인천광역시 중구 중산동 1124-19 ,2022-08-19
6,동물판매업,강아지나라,"인천광역시 중구 우현로 55 (내동, 피아투,강아지나라)",인천광역시 중구 내동 209-1 ,2022-08-19
7,동물판매업,우프우프,"인천광역시 중구 하늘달빛로64번길 6-3, 401호 (중산동)",인천광역시 중구 중산동 1874-8 스카이 메디컬 프라자 401호,2022-08-19
8,동물판매업,제시카 폼,인천광역시 중구 백운로241번길 4 (운남동),인천광역시 중구 운남동 612-11 ,2022-08-19
9,동물판매업,러블리 플러피,"인천광역시 중구 선녀바위로55번길 34, 지하 1층 (을왕동)",인천광역시 중구 을왕동 687 ,2022-08-19
10,동물판매업,시바나라 인천공항점,"인천광역시 중구 공항로424번길 72, IBC 디오빌 116호 (운서동)",인천광역시 중구 운서동 2850-7 IBC 디오빌 ,2022-08-19
11,동물판매업,참 동물병원,인천광역시 중구 우현로 51 (내동),인천광역시 중구 내동 209-42 웅이네과일 ,2022-08-19
12,동물판매업,봉쥬르멍멍,"인천광역시 중구 운서로7번길 30, 1층 (운서동)",인천광역시 중구 운서동 3066-1 ,2022-08-19
13,동물판매업,AMI PET CONSULT,"인천광역시 중구 백운로 37, 1층 (중산동)",인천광역시 중구 중산동 1292-24 ,2022-08-19
14,동물판매업,AMI PET,"인천광역시 중구 백운로 39, 1층 (중산동)",인천광역시 중구 중산동 1292-3 ,2022-08-19
15,동물판매업,쁘띠큐티,"인천광역시 중구 홍예문로 66, 반석빌딩 2층 (전동)",인천광역시 중구 전동 22-7 반석빌딩 ,2022-08-19
16,동물판매업,프라독,"인천광역시 중구 신포로23번길 49, 중앙프라자 (중앙동3가)",인천광역시 중구 중앙동3가 4-41 중앙프라자 ,2022-08-19
17,동물판매업,브리더스퀄리티,"인천광역시 중구 백운로107번길 68-7, 에이동 (운남동)",인천광역시 중구 운남동 598 ,2022-08-19
18,동물판매업,노블펫(주),인천광역시 중구 백운로228번길 176(운북동),인천광역시 중구 운북동 13-24 ,2022-08-19
19,동물판매업,화이트포메라니안,인천광역시 중구 오작로 68(중산동),인천광역시 중구 중산동 1900-3 ,2022-08-19
20,동물판매업,오독앤캣고양이안심분양센터인천점,"인천광역시 중구 참외전로 145-1, 동신전자 (인현동)",인천광역시 중구 인현동 1-170 동신전자 ,2022-08-19
21,동물생산업,퍼피월드,인천광역시 중구 백운로527번길 54-11 (운북동),인천광역시 중구 운북동 789-135 ,2022-08-19
22,동물생산업,뽀삐네,인천광역시 중구 영종순환로169번길 45-30 (중산동),인천광역시 중구 중산동 1124-20 ,2022-08-19
23,동물생산업,펫콤마,인천광역시 중구 영종순환로169번길 45-29 (중산동),인천광역시 중구 중산동 1124-19 ,2022-08-19
24,동물생산업,캣돌 캐터리,인천광역시 중구 영종순환로169번길 132 (중산동),인천광역시 중구 중산동 1129-32 ,2022-08-19
25,동물생산업,K.F.C 켄넬,"인천광역시 중구 신도시남로32번길 9, 1동 1층 (운서동)",인천광역시 중구 운서동 2775-9 ,2022-08-19
26,동물생산업,캐츠 파파,인천광역시 중구 운중로65번길 31-6 (운남동),인천광역시 중구 운남동 534-17 ,2022-08-19
27,동물생산업,캣플라워,인천광역시 중구 백년로10번길 8 (운서동),인천광역시 중구 운서동 2681-6 ,2022-08-19
28,동물생산업,개굳,인천광역시 중구 마장포로53번길 4-19 (중산동),인천광역시 중구 중산동 1224-25 ,2022-08-19
29,동물생산업,부개,인천광역시 중구 중산로29번길 96-1 (중산동),인천광역시 중구 중산동 1161-8 ,2022-08-19
30,동물생산업,콩이,인천광역시 중구 백운로228번길 45 (운북동),인천광역시 중구 운북동 59-6 ,2022-08-19
31,동물생산업,화이트포메라니안,인천광역시 중구 백운로 136-5 (중산동),인천광역시 중구 중산동 1225-43 ,2022-08-19
32,동물생산업,캣냥,인천광역시 중구 영종순환로169번길 142 (중산동),인천광역시 중구 중산동 1129-37 ,2022-08-19
33,동물생산업,불리 갱스터,인천광역시 중구 백운로265번길 4 (운북동),인천광역시 중구 운북동 56-34 ,2022-08-19
34,동물생산업,해피캣,인천광역시 중구 논골4길 31-1(운북동),인천광역시 중구 운북동 1257-57 ,2022-08-19
35,동물생산업,하루,인천광역시 중구 늘목로 19 (을왕동),인천광역시 중구 을왕동 455-8 ,2022-08-19
36,동물생산업,바비독,인천광역시 중구 백운로안길 78 (운북동),인천광역시 중구 운북동 771-28 ,2022-08-19
37,동물생산업,Lavenders,인천광역시 중구 마장포로53번길 19 (중산동),인천광역시 중구 중산동 1186-35 ,2022-08-19
38,동물생산업,로아캣,"인천광역시 중구 서해대로463번길 15-5, 1층 (신흥동2가)",인천광역시 중구 신흥동2가 16-66 ,2022-08-19
39,동물생산업,버니즈동산,인천광역시 중구 영종순환로169번길 125-3 (중산동),인천광역시 중구 중산동 1129-18 ,2022-08-19
40,동물생산업,도담도담 달빛,"인천광역시 중구 운중로71번길 16-18, 1층 (운남동)",인천광역시 중구 운남동 526-25 ,2022-08-19
41,동물생산업,판도라독,인천광역시 중구 백운로안길 80-12(운북동),인천광역시 중구 운북동 771-41 ,2022-08-19
42,동물생산업,영종도차우,인천광역시 중구 백운로 92-22(중산동),인천광역시 중구 중산동 1392-36 ,2022-08-19
43,동물생산업,Noble laurent dog(노블로렌독),"인천광역시 중구 운중로 211-1, 2층 (중산동)",인천광역시 중구 중산동 1296-4 ,2022-08-19
