순번,사업장명칭,소재지주소(도로명),위도,경도
1,The Beauty Dog,"인천광역시 연수구 청량로 210, 101호 (옥련동, 쌍용아파트상가)",37.425074 ,126.653089 
2,홈플러스 연수점(밀레쥬),"인천광역시 연수구 청능대로 210, 홈플러스 인천연수점 B1층 X9,YF호 (동춘동)",37.405936 ,126.683561 
3,(주)밀레펫(이마트 연수점),"인천광역시 연수구 경원대로 184, 3층 (동춘동, 이마트 연수점)",37.404270 ,126.681175 
4,고마워 강아지,"인천광역시 연수구 청량로 210, 상가동 105호 (옥련동, 쌍용아파트)",37.425074 ,126.653089 
5,섹시독,"인천광역시 연수구 컨벤시아대로 60, 120호 (송도동, 푸르지오월드마크)",37.397338 ,126.650694 
6,하얀강아지,"인천광역시 연수구 비류대로427번길 25, 103호 (연수동)",37.425515 ,126.682257 
7,한강아쿠아 롯데마트 연수점,"인천광역시 연수구 청능대로 87 (청학동, 롯데마트 연수점)",37.415057 ,126.675168 
8,화이트 포메라니안,인천광역시 연수구 독배로 147 (옥련동),37.433707 ,126.646751 
9,다롬이네,"인천광역시 연수구 학나래로117번길 4, 206호 (선학동, 장환맨션)",37.428548 ,126.698054 
10,프라자 애견샾,"인천광역시 연수구 신송로 122, 117호 (송도동, 송도프라자)",37.395714 ,126.652444 
11,Starmungs(스타멍스),"인천광역시 연수구 송도과학로27번길 55, 302동 D124호 (송도동, 롯데캐슬캠퍼스타운)",37.388054 ,126.665132 
12,마리앤쥬(ZOO),"인천광역시 연수구 신송로125번길 13, 아크리아 3층 302호 (송도동)",37.394498 ,126.651184 
13,미쓰박 펫 살롱,"인천광역시 연수구 해돋이로 107, G동 1층 33호 (송도동, 송도 더샵 퍼스트월드)",37.391075 ,126.648036 
14,베베독,인천광역시 연수구 비류대로244번길 14 (청학동),37.426392 ,126.662217 
15,야옹아 놀자,"인천광역시 연수구 먼우금로251번길 8-20, 1층 (연수동)",37.420118 ,126.679769 
16,러블리펫,"인천광역시 연수구 청량로164번길 4, 도화빌라 B01호 (옥련동)",37.421436 ,126.652700 
17,러블리펫,"인천광역시 연수구 청량로164번길 4, 도화빌라 B01호 (옥련동)",37.421436 ,126.652700 
18,마리앤쥬(ZOO),"인천광역시 연수구 신송로125번길 13, 아크리아 302호 (송도동)",37.394498 ,126.651184 
19,(주)이마트 연수점,"인천광역시 연수구 경원대로 184, 이마트 3층 (동춘동)",37.404270 ,126.681175 
20,뽐나개,"인천광역시 연수구 비류대로256번길 25, 1층 2호 (청학동)",37.425565 ,126.663360 
21,누렁이도 찰스로 애견샵,"인천광역시 연수구 새말로 89, 102호 (연수동)",37.418809 ,126.679589 
22,강아지 와요와요,"인천광역시 연수구 함박뫼로 128, 110호 (연수동, 연수대명아파트)",37.421603 ,126.680392 
23,루루 반려견,"인천광역시 연수구 컨벤시아대로 70, 301동 135호 (송도동, 인천송도힐스테이트)",37.396873 ,126.650068 
24,주주 애견미용실,"인천광역시 연수구 해돋이로 107, E동 8호 (송도동, 송도 더샵 퍼스트월드)",37.391075 ,126.648036 
25,사랑이넘치는 동물병원,"인천광역시 연수구 신송로 166, 플러스원프라자 1층 101호 (송도동)",37.395487 ,126.652160 
26,신퍼피클럽동물병원,인천광역시 연수구 함박로 74-1 (연수동),37.425231 ,126.685452 
27,ACE동물병원,"인천광역시 연수구 센트럴로 194, B동 101호 (송도동, 더샵 센트럴파크2)",37.394467 ,126.641007 
28,내가제일예쁘개,"인천광역시 연수구 해돋이로 168-7, 레드원프라자 103호 (송도동)",37.390984 ,126.650837 
29,멍쮸,"인천광역시 연수구 비류대로427번길 22, 101호 (연수동)",37.425285 ,126.682480 
30,블루큐브,"인천광역시 연수구 샘말로 105-11, 1층 (연수동)",37.415610 ,126.680754 
31,강아지왈츠,"인천광역시 연수구 새말로 6, 상가동 105호 (연수동, 효정아파트)",37.424097 ,126.672134 
32,송도건국동물병원,"인천광역시 연수구 송도문화로28번길 28, 203동 207호 (송도동, 송도글로벌캠퍼스푸르지오)",37.375328 ,126.654224 
33,똥개애견,인천광역시 연수구 함박로 23-1 (연수동),37.425934 ,126.679904 
34,커멍베이비,"인천광역시 연수구 용담로 91, 2층 (청학동)",37.416394 ,126.675763 
35,웰 동물병원,"인천광역시 연수구 먼우금로 189, 소망글로벌 109호 (청학동)",37.422474 ,126.669874 
36,24시 송도힐 동물메디컬센터,"인천광역시 연수구 컨벤시아대로 55, 106호 (송도동, 송도이안)",37.396800 ,126.652284 
37,펫홈 반려동물용품백화점,"인천광역시 연수구 컨벤시아대로 55, 113,114,115호 (송도동, 송도이안)",37.396800 ,126.652284 
38,아름다운 동물병원,"인천광역시 연수구 해돋이로 114, 서운프라자 2층 (송도동)",37.392069 ,126.649915 
