읍면동 구분,시군구 등록건수,위탁대행업체 등록건수,기타 등록건수,내장형,외장형,인식표,등록품종수,동물소유자수,1인당 등록두수,총 등록두수,관리기관명,전화번호,데이터기준일자
교동,37,1965,0,969,673,360,69,1509,1.33,2002,강원도 강릉시청,033-640-5596,2022-09-15
저동,1,76,0,38,26,13,18,61,1.26,77,강원도 강릉시청,033-640-5596,2022-09-15
학동,0,42,0,24,10,8,15,29,1.45,42,강원도 강릉시청,033-640-5596,2022-09-15
강동면,56,278,0,174,97,63,37,223,1.5,334,강원도 강릉시청,033-640-5596,2022-09-15
강문동,0,38,0,25,12,1,14,23,1.65,38,강원도 강릉시청,033-640-5596,2022-09-15
견소동,4,201,1,108,68,30,33,162,1.27,206,강원도 강릉시청,033-640-5596,2022-09-15
구정면,333,321,2,478,116,62,47,385,1.7,656,강원도 강릉시청,033-640-5596,2022-09-15
금학동,0,26,0,13,12,1,14,19,1.37,26,강원도 강릉시청,033-640-5596,2022-09-15
난곡동,4,44,0,19,17,12,14,27,1.78,48,강원도 강릉시청,033-640-5596,2022-09-15
남문동,0,70,0,36,25,9,18,59,1.19,70,강원도 강릉시청,033-640-5596,2022-09-15
내곡동,6,557,0,280,206,77,49,423,1.33,563,강원도 강릉시청,033-640-5596,2022-09-15
노암동,16,1072,0,524,374,190,60,782,1.39,1088,강원도 강릉시청,033-640-5596,2022-09-15
담산동,0,13,0,4,8,1,8,8,1.63,13,강원도 강릉시청,033-640-5596,2022-09-15
대전동,0,76,0,15,30,31,19,48,1.58,76,강원도 강릉시청,033-640-5596,2022-09-15
두산동,0,12,0,3,8,1,6,10,1.2,12,강원도 강릉시청,033-640-5596,2022-09-15
명주동,0,21,0,15,5,1,11,19,1.11,21,강원도 강릉시청,033-640-5596,2022-09-15
박월동,0,17,0,10,4,3,9,13,1.31,17,강원도 강릉시청,033-640-5596,2022-09-15
병산동,0,43,0,25,16,2,13,33,1.3,43,강원도 강릉시청,033-640-5596,2022-09-15
사천면,49,363,0,215,110,87,47,260,1.58,412,강원도 강릉시청,033-640-5596,2022-09-15
성남동,2,99,0,52,33,16,22,68,1.49,101,강원도 강릉시청,033-640-5596,2022-09-15
성내동,0,10,0,6,3,1,7,5,2,10,강원도 강릉시청,033-640-5596,2022-09-15
성산면,56,391,0,170,142,135,35,264,1.69,447,강원도 강릉시청,033-640-5596,2022-09-15
송정동,7,372,0,193,128,58,41,274,1.38,379,강원도 강릉시청,033-640-5596,2022-09-15
신석동,0,15,0,9,4,2,6,9,1.67,15,강원도 강릉시청,033-640-5596,2022-09-15
안현동,0,70,0,33,26,11,16,47,1.49,70,강원도 강릉시청,033-640-5596,2022-09-15
연곡면,50,429,2,241,176,64,47,332,1.45,481,강원도 강릉시청,033-640-5596,2022-09-15
옥계면,61,340,0,129,83,189,43,224,1.79,401,강원도 강릉시청,033-640-5596,2022-09-15
옥천동,1,234,0,93,87,55,27,177,1.33,235,강원도 강릉시청,033-640-5596,2022-09-15
왕산면,11,99,0,38,60,12,20,61,1.8,110,강원도 강릉시청,033-640-5596,2022-09-15
용강동,3,27,0,11,13,6,12,25,1.2,30,강원도 강릉시청,033-640-5596,2022-09-15
운산동,0,44,0,14,14,16,15,25,1.76,44,강원도 강릉시청,033-640-5596,2022-09-15
운정동,1,6,0,5,1,1,5,5,1.4,7,강원도 강릉시청,033-640-5596,2022-09-15
유산동,2,72,0,21,34,19,20,37,2,74,강원도 강릉시청,033-640-5596,2022-09-15
유천동,2,147,0,61,34,54,25,97,1.54,149,강원도 강릉시청,033-640-5596,2022-09-15
임당동,0,116,0,52,42,22,32,83,1.4,116,강원도 강릉시청,033-640-5596,2022-09-15
입암동,14,1609,3,814,538,274,60,1230,1.32,1626,강원도 강릉시청,033-640-5596,2022-09-15
장현동,0,28,0,7,11,10,11,15,1.87,28,강원도 강릉시청,033-640-5596,2022-09-15
죽헌동,0,38,0,22,8,8,14,18,2.11,38,강원도 강릉시청,033-640-5596,2022-09-15
지변동,3,110,0,55,39,19,25,88,1.28,113,강원도 강릉시청,033-640-5596,2022-09-15
청량동,2,36,0,7,21,10,8,22,1.73,38,강원도 강릉시청,033-640-5596,2022-09-15
초당동,2,269,0,131,88,52,35,201,1.35,271,강원도 강릉시청,033-640-5596,2022-09-15
포남동,18,1499,1,745,518,255,67,1139,1.33,1518,강원도 강릉시청,033-640-5596,2022-09-15
홍제동,12,770,0,378,251,153,48,597,1.31,782,강원도 강릉시청,033-640-5596,2022-09-15
회산동,2,309,0,137,85,89,38,232,1.34,311,강원도 강릉시청,033-640-5596,2022-09-15
남항진동,0,50,0,18,20,12,15,36,1.39,50,강원도 강릉시청,033-640-5596,2022-09-15
월호평동,0,27,0,12,14,1,14,16,1.69,27,강원도 강릉시청,033-640-5596,2022-09-15
주문진읍,13,949,0,497,313,152,62,660,1.46,962,강원도 강릉시청,033-640-5596,2022-09-15
