시군명,읍면동명,등록 동물 수(마리),(등록주체)시군구 등록,(등록주체)대행업체 등록,(등록주체)기타,내장형,외장형,인식표,등록 품종 수,등록 소유자 수,동물 소유자당 등록 동물 수,해당 동의 등록대행업체 수,데이터기준일자
광주시,목동,128,10,118,0,73,41,14,33,77,1.66,,2022-09-21
광주시,삼동,537,70,466,1,312,139,86,52,390,1.38,,2022-09-21
광주시,역동,562,26,536,0,328,178,56,44,451,1.25,1,2022-09-21
광주시,직동,67,19,48,0,30,16,21,25,38,1.76,,2022-09-21
광주시,경안동,1032,103,928,1,630,272,130,63,734,1.41,3,2022-09-21
광주시,남종면,124,36,87,1,46,39,39,31,62,2,,2022-09-21
광주시,도척면,751,167,582,2,363,202,186,68,427,1.76,,2022-09-21
광주시,목현동,1110,114,996,0,625,347,138,65,791,1.4,,2022-09-21
광주시,송정동,1630,146,1484,0,894,526,210,79,1193,1.37,4,2022-09-21
광주시,실촌읍,1,0,0,1,1,0,0,1,1,1,,2022-09-21
광주시,쌍령동,1107,91,1013,3,660,318,129,59,823,1.35,1,2022-09-21
광주시,오포읍,9150,632,8512,6,4807,2964,1379,126,6299,1.45,5,2022-09-21
광주시,장지동,810,67,741,2,457,238,115,58,594,1.36,1,2022-09-21
광주시,중대동,321,40,280,1,198,76,47,35,228,1.41,2,2022-09-21
광주시,중부면,47,12,35,0,17,20,10,16,18,2.61,,2022-09-21
광주시,초월읍,4342,361,3979,2,2952,950,440,106,2216,1.96,1,2022-09-21
광주시,탄벌동,1079,114,965,0,622,307,150,64,814,1.33,1,2022-09-21
광주시,태전동,2148,191,1957,0,1184,728,236,81,1612,1.33,2,2022-09-21
광주시,퇴촌면,1347,138,1207,2,713,477,157,67,842,1.6,2,2022-09-21
광주시,회덕동,886,92,794,0,507,272,107,62,596,1.49,,2022-09-21
광주시,곤지암읍,1674,212,1462,0,986,428,260,76,1067,1.57,4,2022-09-21
광주시,남한산성면,189,17,172,0,130,35,24,26,95,1.99,,2022-09-21
