시도명,시군구명,구청명,법정동명,등록품종수,등록개체수,소유자수,관리부서명,관리부서연락처,데이터기준일자
경기도,수원시,권선구,탑동,57,1169,872,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,평동,29,117,91,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,고색동,46,818,615,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,구운동,56,1217,955,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,권선동,74,4003,3074,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,금곡동,60,1638,1283,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,당수동,30,344,265,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,서둔동,53,803,575,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,세류동,80,2981,2219,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,입북동,26,233,185,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,장지동,4,10,10,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,평리동,1,1,1,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,곡반정동,58,1297,912,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,오목천동,51,765,574,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,권선구,호매실동,52,1324,1020,권선구 경제교통과,031-228-6373,2019-10-10
경기도,수원시,영통구,신동,31,223,170,영통구 경제교통과,031-228-8882,2019-10-10
경기도,수원시,영통구,하동,49,1025,785,영통구 경제교통과,031-228-8882,2019-10-10
경기도,수원시,영통구,망포동,59,2044,1653,영통구 경제교통과,031-228-8882,2019-10-10
경기도,수원시,영통구,매탄동,78,4321,3434,영통구 경제교통과,031-228-8882,2019-10-10
경기도,수원시,영통구,영통동,69,3379,2806,영통구 경제교통과,031-228-8882,2019-10-10
경기도,수원시,영통구,원천동,52,1102,838,영통구 경제교통과,031-228-8882,2019-10-10
경기도,수원시,영통구,이의동,63,1804,1401,영통구 경제교통과,031-228-8882,2019-10-10
경기도,수원시,장안구,송죽동,48,1119,883,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,연무동,54,1021,765,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,영화동,60,1249,919,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,율전동,49,1056,856,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,이목동,43,270,187,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,정자동,73,3798,3034,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,조원동,68,2582,2014,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,천천동,47,1142,949,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,파장동,50,1022,817,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,상광교동,3,4,3,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,장안구,하광교동,13,19,12,장안구 경제교통과,031-228-5384,2019-10-10
경기도,수원시,팔달구,교동,34,168,106,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,영동,13,33,22,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,중동,5,18,12,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,지동,57,936,662,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,고등동,48,638,482,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,구천동,15,47,34,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,남수동,24,89,60,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,남창동,26,89,66,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,매교동,41,346,243,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,매향동,20,65,50,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,북수동,28,103,68,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,신풍동,29,110,77,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,우만동,64,1854,1425,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,인계동,71,2619,1927,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,장안동,21,64,49,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,화서동,58,2384,1870,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,매산로1가,28,149,89,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,매산로2가,33,319,242,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,매산로3가,35,207,146,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,팔달로1가,13,26,17,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,팔달로2가,18,43,30,팔달구 경제교통과,031-228-7355,2019-10-10
경기도,수원시,팔달구,팔달로3가,13,32,22,팔달구 경제교통과,031-228-7355,2019-10-10
