시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,데이터기준일자
파주시,검산동,310,8,302,0,167,129,14,38,226,1.37,2022-05-16
파주시,광탄면,994,43,950,1,661,287,46,68,445,2.23,2022-05-16
파주시,교하동,246,9,237,0,148,93,5,29,66,3.73,2022-05-16
파주시,교하읍,472,0,472,0,469,3,0,36,380,1.24,2022-05-16
파주시,군내면,13,0,13,0,4,9,0,7,10,1.3,2022-05-16
파주시,금능동,41,1,40,0,27,14,0,14,34,1.21,2022-05-16
파주시,금릉동,224,6,218,0,125,93,6,36,159,1.41,2022-05-16
파주시,금촌동,3393,118,3275,0,1934,1259,200,84,2505,1.35,2022-05-16
파주시,다율동,729,20,709,0,378,311,40,56,540,1.35,2022-05-16
파주시,당하동,152,4,148,0,77,66,9,29,98,1.55,2022-05-16
파주시,동패동,3101,49,3051,1,1660,1307,134,83,2223,1.39,2022-05-16
파주시,맥금동,30,7,23,0,14,12,4,12,24,1.25,2022-05-16
파주시,목동동,3873,94,3779,0,2166,1513,194,91,2864,1.35,2022-05-16
파주시,문발동,688,10,678,0,404,260,24,57,464,1.48,2022-05-16
파주시,문산읍,2985,75,2908,2,1540,1325,120,90,2117,1.41,2022-05-16
파주시,법원읍,846,25,818,3,493,305,48,59,502,1.69,2022-05-16
파주시,산남동,165,10,155,0,103,53,9,44,95,1.74,2022-05-16
파주시,서패동,41,0,41,0,31,10,0,14,26,1.58,2022-05-16
파주시,송촌동,69,1,68,0,50,19,0,20,27,2.56,2022-05-16
파주시,신촌동,53,2,51,0,23,24,6,24,37,1.43,2022-05-16
파주시,아동동,1074,37,1037,0,542,442,90,52,765,1.4,2022-05-16
파주시,야당동,3845,69,3774,2,2246,1378,221,91,2699,1.42,2022-05-16
파주시,야동동,355,8,346,1,191,149,15,49,269,1.32,2022-05-16
파주시,오도동,63,0,63,0,39,22,2,21,30,2.1,2022-05-16
파주시,와동동,3518,51,3465,2,2253,1095,170,77,1963,1.79,2022-05-16
파주시,월롱면,531,15,515,1,304,201,26,62,333,1.59,2022-05-16
파주시,적성면,333,23,310,0,171,134,28,48,232,1.44,2022-05-16
파주시,조리읍,1830,91,1739,0,959,717,154,74,1268,1.44,2022-05-16
파주시,진동면,10,0,10,0,10,0,0,7,5,2,2022-05-16
파주시,탄현면,1164,60,1103,1,690,396,78,78,712,1.63,2022-05-16
파주시,파주읍,1022,49,972,1,529,395,98,62,610,1.68,2022-05-16
파주시,파평면,215,9,206,0,106,96,13,33,110,1.95,2022-05-16
파주시,상지석동,491,10,481,0,256,207,28,54,317,1.55,2022-05-16
파주시,연다산동,58,4,54,0,21,34,3,21,34,1.71,2022-05-16
파주시,하지석동,59,3,56,0,34,25,0,23,33,1.79,2022-05-16
