읍면동(법정동),내장형(RFID종류),외장형(RFID종류),인식표(RFID종류),등록품종수,동물소유자수,동물소유자당 동물등록수,데이터기준일자
강동,7,3,10,6,13,1.54,2022-08-22
내동,605,681,397,64,1297,1.3,2022-08-22
안동,116,160,96,39,269,1.38,2022-08-22
외동,927,1092,578,74,2024,1.28,2022-08-22
이동,12,10,13,10,24,1.46,2022-08-22
흥동,84,101,66,34,159,1.58,2022-08-22
관동동,668,350,246,59,959,1.32,2022-08-22
구산동,911,510,459,62,1221,1.54,2022-08-22
내덕동,130,49,58,34,141,1.68,2022-08-22
대동면,97,92,319,54,322,1.58,2022-08-22
대성동,112,129,102,41,247,1.39,2022-08-22
대청동,366,196,113,51,523,1.29,2022-08-22
동상동,245,229,216,55,507,1.36,2022-08-22
명법동,2,8,5,11,10,1.5,2022-08-22
무계동,194,124,111,36,344,1.25,2022-08-22
봉황동,138,167,129,39,289,1.5,2022-08-22
부곡동,698,356,244,53,1024,1.27,2022-08-22
부원동,264,225,196,51,528,1.3,2022-08-22
불암동,19,18,12,13,35,1.4,2022-08-22
삼계동,955,1000,480,69,1934,1.26,2022-08-22
삼문동,541,315,207,55,827,1.29,2022-08-22
삼방동,624,830,330,71,1321,1.35,2022-08-22
삼정동,322,335,255,47,683,1.34,2022-08-22
상동면,98,73,110,37,168,1.67,2022-08-22
생림면,151,128,77,43,190,1.87,2022-08-22
서상동,26,47,25,19,64,1.53,2022-08-22
수가동,1,4,1,5,6,1,2022-08-22
신문동,197,145,71,39,310,1.33,2022-08-22
어방동,438,500,291,61,960,1.28,2022-08-22
유하동,14,4,4,11,11,2,2022-08-22
율하동,643,298,209,53,910,1.26,2022-08-22
응달동,0,2,3,2,4,1.25,2022-08-22
장유동,256,166,68,42,378,1.3,2022-08-22
장유면,300,226,161,37,580,1.18,2022-08-22
전하동,43,42,50,27,101,1.34,2022-08-22
주촌면,321,248,179,46,523,1.43,2022-08-22
지내동,100,162,55,36,245,1.29,2022-08-22
진례면,151,110,145,41,248,1.64,2022-08-22
진영읍,1114,955,849,74,2168,1.35,2022-08-22
풍유동,29,21,18,13,50,1.36,2022-08-22
한림면,157,194,303,47,369,1.77,2022-08-22
화목동,34,33,17,23,53,1.58,2022-08-22
