기준 연월,동물 구분,조치,포획 두수(마리)
202101,개,보호소인계,187
202101,개,보호자인계,34
202102,개,보호소인계,213
202102,개,보호자인계,33
202103,개,보호소인계,237
202103,개,보호자인계,30
202104,개,보호소인계,177
202104,개,보호자인계,42
202105,개,보호소인계,135
202105,개,보호자인계,49
202106,개,보호소인계,176
202106,개,보호자인계,34
202101,고양이,보호소인계,22
202101,고양이,보호자인계,0
202101,고양이,TNR,160
202102,고양이,보호소인계,17
202102,고양이,보호자인계,1
202102,고양이,TNR,173
202103,고양이,보호소인계,24
202103,고양이,보호자인계,0
202103,고양이,TNR,264
202104,고양이,보호소인계,33
202104,고양이,보호자인계,0
202104,고양이,TNR,182
202105,고양이,보호소인계,60
202105,고양이,보호자인계,0
202105,고양이,TNR,112
202106,고양이,보호소인계,74
202106,고양이,보호자인계,0
202106,고양이,TNR,133
