연번,업체명,대표자,전화번호,소재지(도로명주소),데이터기준일자
1,다인애견,강은경,051-204-0046,,2022-04-25
2,큐티애견,정희중,051-204-7568,,2022-04-25
3,회원애견,공성원,051-293-1581,,2022-04-25
4,아름이네강아지,조아름,051-206-5521,,2022-04-25
5,쭈야애견샵,이대규,,부산광역시 사하구 승학로 50 (당리동),2022-04-25
6,유리애견,구자국,051-806-8991,부산광역시 사하구 다대로 389 (다대동),2022-04-25
7,롯데마트 사하점 수족관,바이오시스템 아쿠아,,부산광역시 사하구 을숙도대로 610 (장림동),2022-04-25
8,쿨펫동물병원,조진규,051-264-8275,"부산광역시 사하구 을숙도대로 610 (감천동, 롯데마트 3층)",2022-04-25
9,큐티독,박제영,,부산광역시 사하구 낙동대로 519 (하단동),2022-04-25
10,홈플러스스토어즈,홈플러스스토어즈,051-792-8601,부산광역시 사하구 다대로 225 (장림동),2022-04-25
11,아이러브 애견,박동복,051-206-3510,부산광역시 사하구 사하로 156-1 (괴정동),2022-04-25
12,도그라이프,김소영,051-266-3268,부산광역시 사하구 다대로 399 (다대동),2022-04-25
13,똥강아지,김선희,051-205-0223,부산광역시 사하구 낙동대로355번길 7 (당리동),2022-04-25
14,다키애견,진현정,,부산광역시 사하구 다대로 529 (다대동),2022-04-25
15,미엘 캣터리,임서영,,부산광역시 사하구 괴정로 111-2 (당리동),2022-04-25
16,우리집 막내,방경남,,"부산광역시 사하구 다대로 555-4, 5층 (다대동)",2022-04-25
17,바른개 생활,양영혜,,"부산광역시 사하구 동매로 64, 1층 (하단동)",2022-04-25
18,빨강머리 앤,최규남,,"부산광역시 사하구 하신중앙로 8, 1층 (장림동)",2022-04-25
19,애기멍살롱,홍윤지,,"부산광역시 사하구 다대로 555-4, 4층 (다대동)",2022-04-25
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
※ 단순 예시이므로 제공 메뉴 수정 가능,,,,,
"※ 동물병원, 유기견보호센터, 판매업체 각각 개별 파일로 등록",,,,,
