영업의내용,사업장명칭,소재지주소(도로명),소재지전화
동물의판매,애견나라,부산광역시 동래구 명안로 35 (안락동),051-525-6648
동물의판매,롯데마트동래점,부산광역시 동래구 중앙대로 1393 (온천동),051-521-8243
동물의판매,꿈꾸는 강아지,부산광역시 동래구 연안로51번길 96-17 (안락동),051-527-2573
동물의판매,그린펫,부산광역시 동래구 충렬대로182번길 21 (명륜동),070-8725-7300
동물의판매,똥강아지네,"부산광역시 동래구 명서로 182, 8호동 106호 (명장동, 경동타운상가)",051-526-0999
동물의판매,야옹아멍멍해봐,부산광역시 동래구 아시아드대로 192-1 (사직동),051-506-0049
동물의판매,도도펫,"부산광역시 동래구 명륜로 195, 1층 (명륜동, 용신 B/D)",051-557-0125
동물의판매,스파리버,"부산광역시 동래구 온천천로471번가길 51-8, 2층 (안락동)",051-907-4799
동물의판매,프란다스의개 사직점,부산광역시 동래구 석사로 42 (사직동),051-501-2353
동물의판매,전수진펫뷰티샵,"부산광역시 동래구 시실로 14, 센텀빌딩 (명륜동)",
동물의판매,요기독강아지랑고양이랑부산지점,부산광역시 동래구 온천천로431번길 24-23 (안락동),
동물의판매,그루밍펫뷰티샵,"부산광역시 동래구 사직로 8, 상가 301동 104호(사직동, 사직역 삼정그린코아 더 베스트 1차)",
