연번,유형,상호명,도로명주소,전화번호,위도,경도
1,동물판매업(일반),개팔자 ~ 참,인천광역시 미추홀구 소성로 305 (문학동),032-433-0444,37.43786834,126.6813214
2,동물판매업(일반),아트애견,인천광역시 미추홀구 한나루로 414 (학익동),032-868-5117,37.44426213,126.6654848
3,동물판매업(일반),로얄애견,인천광역시 미추홀구 독배로 415 (용현동),032-881-0835,37.45666841,126.6496923
4,동물판매업(일반),둥지애견,인천광역시 미추홀구 인하로164번길 3 (용현동),032-874-1555,37.44883572,126.6661753
5,동물판매업(일반),토토 애견,인천광역시 미추홀구 제일로 42 (도화동),032-873-8015,37.45859609,126.6747102
6,동물판매업(일반),멍멍이와야옹이,인천광역시 미추홀구 인주대로 272-1 (용현동),032-873-3640,37.45236139,126.6665986
7,동물판매업(일반),애니독,"인천광역시 미추홀구 인하로 369 (주안동,1층)",032-425-1216,37.44838372,126.689321
8,동물판매업(일반),똥강아지,인천광역시 미추홀구 소성로 238 (학익동),032-872-0704,37.43875399,126.673839
9,동물판매업(일반),"금자동아, 은자동아","인천광역시 미추홀구 소성로 310, 1층 103호 (문학동, 희망주택)",032-866-3313,37.43757478,126.6814858
10,동물판매업(일반),파트라슈&네로,인천광역시 미추홀구 소성로 99 (학익동),032-874-3003,37.44475733,126.6602125
11,동물판매업(일반),펫앤펫 인천점 강아지의 모든것,인천광역시 미추홀구 경인로 500 (주안동),,37.45988987,126.694919
12,동물판매업(일반),오드리 펫,인천광역시 미추홀구 경인로 482 (주안동),032-433-3223,37.45907925,126.6933947
13,동물판매업(일반),펫 스토리,"인천광역시 미추홀구 낙섬중로91번길 28-24 (용현동,1층)",032-888-0979,37.45692571,126.6397917
14,동물판매업(일반),아리러브펫 동물병원 인하점,인천광역시 미추홀구 소성로 6 (용현동),02-3446-7593,37.44706744,126.6508493
15,동물판매업(일반),홈플러스 인하점(아이러브펫),인천광역시 미추홀구 소성로 6 (용현동),,37.44706744,126.6508493
16,동물판매업(일반),아이러브펫 동물병원 인하점,인천광역시 미추홀구 소성로 6 (용현동),,37.44706744,126.6508493
17,동물판매업(일반),Park's doggie,"인천광역시 미추홀구 염창로 38 (주안동, 드림시티)",,37.46569701,126.6776966
18,동물판매업(일반),강아지분양24시펫타임,인천광역시 미추홀구 소성로350번길 16 (문학동),,37.43661464,126.6858206
19,동물판매업(일반),아지세상(애견샵),인천광역시 미추홀구 경인로325번길 22-36 (주안동),032-876-1253,37.45962284,126.6776882
20,동물판매업(일반),배달캔넬,인천광역시 미추홀구 인하로 196-1 (주안동),,37.44852427,126.6698107
