연번,사업장명칭,영업내용,소재지 주소,전화번호,데이터기준일자
1,럭셔리하개,판매,"인천광역시 서구 승학로 457, 상가동 1층 101호 (검암동)",,2022-09-05
2,도그샵,판매,인천광역시 서구 승학로 283 (연희동),,2022-09-05
3,애견용품 할인매장,판매,인천광역시 서구 가정로 298 (석남동),,2022-09-05
4,인천조류원,판매,"인천광역시 서구 검단로609번길 3, 4층 (마전동)",,2022-09-05
5,25시파랑새동물병원,판매,인천광역시 서구 완정로 182 (마전동),032-567-2575,2022-09-05
6,행복한동물병원,판매,"인천광역시 서구 원당대로 853 삼정프라자 102,103호",032-561-7508,2022-09-05
7,아지와 옹이,판매,인천광역시 서구 승학로 446 (검암동),032-561-9004,2022-09-05
8,메인독,판매,인천광역시 서구 신석로111번길 15 (석남동),070-4155-1119,2022-09-05
9,핫도그,판매,인천광역시 서구 승학로 574 (검암동),032-568-6333,2022-09-05
10,해피펫,판매,인천광역시 서구 검단로501번안길 16 (마전동),032-561-7450,2022-09-05
11,퍼피크루,판매,인천광역시 서구 심곡로49번길 1 (심곡동),032-566-0155,2022-09-05
12,쿨펫동물병원(가좌 홈플러스점),판매,인천광역시 서구 가정로151번길 11 (가좌동),032-576-0045,2022-09-05
13,아쿠아 플러스(주) 가좌홈플러스점,판매,인천광역시 서구 가정로151번길 11 (가좌동),032-563-8000,2022-09-05
14,노블펫,판매,인천광역시 서구 푸른로8번안길 4 (경서동),032-562-4031,2022-09-05
15,총각블라인드&디자인독,판매,인천광역시 서구 완정로178번안길 4-1 (마전동),,2022-09-05
16,베이비 몽,판매,"인천광역시 서구 청라라임로 85 (연희동, 청라린스트라우스)",,2022-09-05
17,젊은열대어,판매,"인천광역시 서구 검단로 755 (불로동, 상원빌딩)",,2022-09-05
18,도그월드 가정지구점,판매,"인천광역시 서구 청중로478번안길 3 (가정동, 주원프라자)",032-566-8698,2022-09-05
19,상상도그,판매,"인천광역시 서구 중봉대로612번길 10-17 (연희동, 주차타워동)",032-568-0907,2022-09-05
20,고양이 유치원,판매,인천광역시 서구 길주로 79 (석남동),,2022-09-05
21,마이펫,판매,"인천광역시 서구 거북로 88, 3층 (석남동)",,2022-09-05
22,서구애견센타,판매,"인천광역시 서구 가정로 295 (석남동, 서해안순복음교회)",032-576-5726,2022-09-05
23,펫 매니저,판매,"인천광역시 서구 승학로 528 (검암동, 아카데미프라자)",,2022-09-05
24,루하,판매,인천광역시 서구 담지로8번길 18 (연희동),,2022-09-05
25,스퀘어독스,판매,"인천광역시 서구 담지로8번길 13, 1층 (연희동)",032-568-1063,2022-09-05
26,놀아주시개,판매,"인천광역시 서구 건지로 391, 2,3층 (가좌동)",,2022-09-05
27,아지랑양이,판매,"인천광역시 서구 서곶로 870, 1층 (마전동, 한성빌딩)",032-565-2558,2022-09-05
28,베이비몽 인천점,판매,인천광역시 서구 옥빛로7번안길 3 (경서동),032-561-9770,2022-09-05
29,판다팜 서구신현점,판매,"인천광역시 서구 가정로 369, 서경 플러스 존 B01층 (신현동)",032-572-9341,2022-09-05
30,우리동물병원,판매,"인천광역시 서구 서곶로 349, 1층 (연희동)",032-566-0075,2022-09-05
