"구분","매우 그렇다","약간 그렇다","보통이다","별로 그렇지 않다","전혀 그렇지 않다"
"군구별중구","7.1","23","31","24","14.9"
"군구별동구","13.4","16.1","36.1","19.1","15.2"
"군구별미추홀구","15.1","24.3","29.4","21.6","9.6"
"군구별연수구","11.5","20.5","30.3","24.4","13.4"
"군구별남동구","17.8","20.7","23.8","25.7","11.9"
"군구별부평구","14.5","24.5","24","23.8","13.2"
"군구별계양구","18.1","25.5","24.8","21.2","10.3"
"군구별서구","16.7","23.6","28.7","21.5","9.5"
"군구별강화군","9.6","14.3","23.9","32.2","20"
"군구별옹진군","9.6","13.7","25.6","30.5","20.6"
"성별남자","15.1","23.1","27.4","23.5","10.8"
"성별여자","15.1","22.2","26.6","23.2","12.9"
"연령별13~19세","8.5","13.2","28.8","26","23.5"
"연령별20~29세","8.7","19","26.6","29","16.8"
"연령별30~39세","12.5","23.1","29","24.7","10.7"
"연령별40~49세","14.9","24.1","29.4","21.9","9.7"
"연령별50~59세","17.7","24.9","26.4","21.3","9.7"
"연령별60세 이상","21.7","25.1","23.7","20.5","9"
"학력별초졸이하","17.5","21.5","26","22.3","12.7"
"학력별중졸","16.1","22.4","26.4","21.2","14"
"학력별고졸","15.8","22.5","26.7","23","12"
"학력별대졸이상","13.2","23.4","27.9","24.7","10.8"
"직업별전문관리","14.3","23.4","27.8","24","10.5"
"직업별사무","13.8","22.5","29.5","23.4","10.9"
"직업별서비스판매","15.1","23.7","26.4","22.7","12.1"
"직업별농어업","14.4","12.8","25.3","30.4","17.1"
"직업별기능노무","18","24","26.3","22","9.7"
"직업별학생","7.8","15","29","27.9","20.3"
"직업별주부","17.8","25.1","26.4","20.8","9.9"
"직업별무직/기타","15.9","22.9","25.3","24.2","11.8"
"월평균소득별100만원 미만","20","23.5","23.4","21.8","11.2"
"월평균소득별100~200만원 미만","18.8","24","25","21.5","10.6"
"월평균소득별200~300만원 미만","15.6","22","27.9","23.5","11"
"월평균소득별300~400만원 미만","14.8","23.8","28.2","21.5","11.8"
"월평균소득별400~500만원 미만","13.2","21.8","28.5","25.5","11"
"월평균소득별500~600만원 미만","12.2","21.7","28.2","24.2","13.7"
"월평균소득별600~700만원 미만","12.2","23.5","27","27.5","9.9"
"월평균소득별700만원 이상","13.4","21.5","25.8","23.6","15.8"
"주거형태별단독주택","11.7","20","27.3","27","14.1"
"주거형태별아파트","15.7","23.5","26.4","22.9","11.5"
"주거형태별연립/다세대주택","16.1","22.7","28.2","22.2","10.9"
"주거형태별기타","11","18.3","28.6","25.6","16.4"
"주거점유형태별자가","15.2","23.2","27.1","23.3","11.3"
"주거점유형태별전세","13.5","22","28.6","23.4","12.6"
"주거점유형태별월세 및 기타","16","21","25.2","23.7","14.1"
"가구원수별1인","18.3","23.7","24.9","22.5","10.6"
"가구원수별2인","17.9","23.1","25.1","22.8","11"
"가구원수별3인","14.4","22.2","27","23.8","12.6"
"가구원수별4인","13.2","23.1","29","23.3","11.4"
"가구원수별5인 이상","11.9","20.2","28.4","24.7","14.8"
