연번,제조회사,유통품목코드,유형(단미_배합),중량,급여대상,원재료 및 함량,함유성분,주의사항,1회제공량
1,대한사료(주),미취급 정보,배합,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
2,씨제이제일제당 주식회사,미취급 정보,배합,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
3,세화사료,미취급 정보,배합,미취급 정보,"반려동물(열대어, 관상조류, 토끼, 햄스터 등)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
4,라파펫,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
5,수인물산,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
6,도그팡,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
7,(주)에이치아이엔터프라이즈,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
8,여시발바닥,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
9,애이본,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
10,디어펫,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
11,(주)해피브런치,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
12,베베멍멍,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
13,맛있개 건강하개,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
14,아이디얼푸드,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
15,(주)마이펫코리아,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
16,펫브런치,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
17,조여사작업실,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
18,유리네 쿠키샵(Yuri's Cookie shop),미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
19,최권푸드,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
20,아빠손 푸드,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
21,멍멍이 까까,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
22,어썸바이츠(Awesome Bites),미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
23,낼름 낼름,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
24,비네트,미취급 정보,단미,미취급 정보,"반려동물(개, 고양이)",비공개(영업정보),비공개(영업정보),미취급 정보,미취급 정보
