법정동,등록주체_시군구 등록,등록주체_대행업체 등록,등록주체_기타(이벤트등) 등록,내장형 무선식별장치(RFID종류_내장형),외장형 무선식별장치(RFID종류_외장형),등록인식표(RFID종류_인식표),등록 품종수,동물 소유자 수,동물 소유자당 등록동물 수,합계,데이터기준일자
원동,3,39,0,10,29,3,10,15,2.8,42,2022-03-31
장동,23,362,0,177,175,33,35,313,1.23,385,2022-03-31
중동,25,115,0,60,52,28,24,89,1.57,140,2022-03-31
강흥동,2,0,0,0,0,2,1,1,2,2,2022-03-31
고랑동,7,85,0,64,15,13,24,55,1.67,92,2022-03-31
금상동,18,29,0,23,6,18,14,27,1.74,47,2022-03-31
금암동,77,904,0,440,388,153,55,708,1.39,981,2022-03-31
남정동,0,10,0,8,2,0,7,7,1.43,10,2022-03-31
도덕동,0,7,0,3,4,0,5,6,1.17,7,2022-03-31
도도동,1,0,0,0,0,1,1,1,1,1,2022-03-31
동산동,20,187,0,94,75,38,28,157,1.32,207,2022-03-31
만성동,31,436,0,204,202,61,46,328,1.42,467,2022-03-31
반월동,24,373,0,197,165,35,40,314,1.26,397,2022-03-31
산정동,7,84,0,48,30,13,22,70,1.3,91,2022-03-31
성덕동,4,30,0,10,17,7,13,22,1.55,34,2022-03-31
여의동,17,187,0,93,81,30,26,163,1.25,204,2022-03-31
용정동,4,32,1,15,17,5,15,23,1.61,37,2022-03-31
진북동,48,757,0,374,293,138,47,582,1.38,805,2022-03-31
화전동,3,14,0,3,11,3,7,8,2.13,17,2022-03-31
덕진동1가,34,293,0,173,95,59,42,241,1.36,327,2022-03-31
덕진동2가,38,558,0,311,197,88,45,481,1.24,596,2022-03-31
송천동1가,49,1502,0,762,518,271,53,1218,1.27,1551,2022-03-31
송천동2가,58,1409,0,669,589,209,55,1123,1.31,1467,2022-03-31
여의동2가,5,111,0,62,50,4,21,81,1.43,116,2022-03-31
우아동1가,12,217,0,148,52,29,35,129,1.78,229,2022-03-31
우아동2가,14,405,0,245,122,52,40,318,1.32,419,2022-03-31
우아동3가,33,659,0,363,232,97,46,535,1.29,692,2022-03-31
인후동1가,155,2227,0,1309,744,329,65,1747,1.36,2382,2022-03-31
인후동2가,41,467,0,221,208,79,40,355,1.43,508,2022-03-31
전미동1가,0,17,0,9,4,4,9,12,1.42,17,2022-03-31
전미동2가,7,28,0,17,11,7,10,23,1.52,35,2022-03-31
팔복동1가,8,68,0,37,26,13,19,57,1.33,76,2022-03-31
팔복동2가,25,226,0,127,96,28,34,176,1.43,251,2022-03-31
팔복동3가,0,12,0,9,1,2,6,7,1.71,12,2022-03-31
팔복동4가,2,32,0,20,12,2,10,23,1.48,34,2022-03-31
호성동1가,41,551,0,310,183,99,41,467,1.27,592,2022-03-31
호성동2가,7,119,0,75,34,17,17,77,1.64,126,2022-03-31
호성동3가,2,24,0,14,9,3,11,20,1.3,26,2022-03-31
교동,4,113,0,59,50,8,17,69,1.7,117,2022-03-31
전동,3,39,0,13,16,13,11,31,1.35,42,2022-03-31
중동,1,44,0,34,4,7,13,25,1.8,45,2022-03-31
고사동,1,59,0,39,14,7,15,39,1.54,60,2022-03-31
대성동,11,110,0,43,52,26,27,66,1.83,121,2022-03-31
상림동,0,15,0,9,6,0,8,5,3,15,2022-03-31
색장동,0,25,0,9,14,2,11,15,1.67,25,2022-03-31
서신동,108,1659,2,941,600,228,57,1360,1.3,1769,2022-03-31
석구동,1,24,0,5,14,6,7,17,1.47,25,2022-03-31
용복동,0,14,0,7,4,3,7,12,1.17,14,2022-03-31
원당동,1,24,0,15,7,3,11,15,1.67,25,2022-03-31
중인동,14,112,0,61,41,24,24,87,1.45,126,2022-03-31
태평동,12,250,0,121,81,60,35,189,1.39,262,2022-03-31
전동3가,1,28,0,22,6,1,12,23,1.26,29,2022-03-31
남노송동,14,139,0,94,44,15,26,103,1.49,153,2022-03-31
동서학동,13,248,0,122,71,68,36,184,1.42,261,2022-03-31
동완산동,2,166,0,70,53,45,29,103,1.63,168,2022-03-31
서노송동,7,102,0,55,41,13,26,78,1.4,109,2022-03-31
서서학동,26,466,0,228,195,69,44,338,1.46,492,2022-03-31
중노송동,51,368,0,233,121,65,38,300,1.4,419,2022-03-31
경원동1가,12,26,0,21,5,12,7,13,2.92,38,2022-03-31
경원동2가,4,6,0,6,0,4,4,7,1.43,10,2022-03-31
경원동3가,3,47,0,32,12,6,14,37,1.35,50,2022-03-31
다가동1가,0,26,0,17,5,4,12,18,1.44,26,2022-03-31
다가동2가,1,28,0,17,8,4,8,15,1.93,29,2022-03-31
다가동3가,1,38,0,28,8,3,18,20,1.95,39,2022-03-31
다가동4가,3,15,0,9,4,5,11,14,1.29,18,2022-03-31
삼천동1가,146,1807,1,988,661,305,65,1530,1.28,1954,2022-03-31
삼천동2가,7,95,0,47,40,15,23,64,1.59,102,2022-03-31
삼천동3가,8,66,0,36,29,9,18,49,1.51,74,2022-03-31
중앙동1가,0,13,0,11,1,1,9,10,1.3,13,2022-03-31
중앙동2가,0,17,0,3,3,11,7,6,2.83,17,2022-03-31
중앙동3가,0,13,0,10,3,0,4,4,3.25,13,2022-03-31
중앙동4가,1,21,0,10,9,3,10,17,1.29,22,2022-03-31
평화동1가,30,782,0,435,278,99,40,577,1.41,812,2022-03-31
평화동2가,72,1379,0,795,472,184,44,1139,1.27,1451,2022-03-31
평화동3가,1,44,0,21,18,6,14,36,1.25,45,2022-03-31
풍남동1가,0,18,0,14,3,1,9,14,1.29,18,2022-03-31
풍남동2가,1,13,0,5,4,5,7,9,1.56,14,2022-03-31
풍남동3가,1,47,0,33,11,4,12,27,1.78,48,2022-03-31
효자동1가,123,1430,1,745,523,286,56,1139,1.36,1554,2022-03-31
효자동2가,80,1287,2,620,557,192,52,1084,1.26,1369,2022-03-31
효자동3가,113,2048,0,1166,747,248,67,1580,1.37,2161,2022-03-31
서완산동1가,5,89,0,26,20,48,13,44,2.14,94,2022-03-31
서완산동2가,2,91,0,50,28,15,23,65,1.43,93,2022-03-31
중화산동1가,14,221,0,138,56,41,33,174,1.35,235,2022-03-31
중화산동2가,90,1313,1,687,504,213,55,1055,1.33,1404,2022-03-31
합계,1833,27561,8,14854,10188,4360,113,21785,1.35,29402,2022-03-31
