구분,업체명,기관주소,전화번호,등록방식,데이터기준일자
동물보호센터,제주특별자치도 동물보호센터,제주특별자치도 제주시 첨단동길 184-14,064-710-4065,마이크로칩. 전자태그,2020-04-28
동물병원,푸른동물병원,제주특별자치도 제주시 서광로 293,064-758-2013,마이크로칩. 전자태그,2020-04-28
동물병원,해맑은동물병원,제주특별자치도 제주시 한라대학로 75,064-742-1868,마이크로칩. 전자태그,2020-04-28
동물병원,이소영동물병원,제주특별자치도 제주시 연삼로518,064-722-3375,마이크로칩. 전자태그,2020-04-28
동물병원,서사라동물병원,제주특별자치도 제주시 서사로148-1,064-702-1275,마이크로칩. 전자태그,2020-04-28
동물병원,꿈동물병원,제주특별자치도 제주시 월랑로32,064-744-1128,마이크로칩. 전자태그,2020-04-28
동물병원,신제주동물병원,제주특별자치도 제주시 과원북4길 7,064-744-2772,마이크로칩. 전자태그,2020-04-28
동물병원,제대수의과대학부설동물병원,제주특별자치도 제주시 제주대학로 102,064-754-3384,마이크로칩. 전자태그,2020-04-28
동물병원,퍼피하우스,제주특별자치도 제주시 용담로17길 12,064-721-5703,마이크로칩. 전자태그,2020-04-28
동물병원,리더스동물병원,제주특별자치도 제주시 노연로 131,064-749-7533,마이크로칩. 전자태그,2020-04-28
동물병원,다나동물병원,제주특별자치도 제주시 동광로 119,064-757-7577,마이크로칩. 전자태그,2020-04-28
동물병원,남문동물병원,제주특별자치도 제주시 중앙로114-1,064-757-0295,마이크로칩. 전자태그,2020-04-28
동물병원,한라동물종합병원,제주특별자치도 제주시 고마로 37,064-753-0880,마이크로칩. 전자태그,2020-04-28
동물병원,중앙동물병원,제주특별자치도 제주시 성신로15,064-749-7582,마이크로칩. 전자태그,2020-04-28
동물병원,동심동물병원,제주특별자치도 제주시 노연로 141,064-744-1030,마이크로칩. 전자태그,2020-04-28
동물병원,해밀동물병원,제주특별자치도 제주시 연신로 85,064-744-7582,마이크로칩. 전자태그,2020-04-28
동물병원,24시동물병원,제주특별자치도 제주시 연삼로 353,064-702-2475,마이크로칩. 전자태그,2020-04-28
동물병원,예서동물병원,제주특별자치도 제주시 수덕로 13,064-749-1801,마이크로칩. 전자태그,2020-04-28
동물병원,한수풀동물병원,제주특별자치도 제주시 한림읍 한림로 655,064-796-4451,마이크로칩. 전자태그,2020-04-28
동물병원,이의종동물병원,제주특별자치도 제주시 한림읍 한림로12길 19,064-796-2045,마이크로칩. 전자태그,2020-04-28
동물병원,튼튼동물병원,제주특별자치도 제주시 중앙로 351,064-757-7582,마이크로칩. 전자태그,2020-04-28
동물병원,찬`s동물병원,제주특별자치도 제주시 신광로 105 ,064-746-7410,마이크로칩. 전자태그,2020-04-28
동물병원,제주동물메디컬센터,제주특별자치도 제주시 한림읍 명랑로 16-1,,마이크로칩. 전자태그,2020-04-28
동물병원,수동물병원,제주특별자치도 제주시 서사로 91-1,064-753-3375,마이크로칩. 전자태그,2020-04-28
동물병원,나아라 동물병원,제주특별자치도 제주시 중앙로 536,064-799-7582,마이크로칩. 전자태그,2020-04-28
동물병원,노형동물병원,제주특별자치도 제주시 1100로 3213-27,064-759-7975,마이크로칩. 전자태그,2020-04-28
동물병원,웰니스 동물병원,제주특별자치도 제주시 도령로 136,064-711-7572,마이크로칩. 전자태그,2020-04-28
동물병원,한사랑 동물병원,제주특별자치도 제주시 인다10길 31,064-747-3000,마이크로칩. 전자태그,2020-04-28
동물병원,이스턴동물병원,제주특별자치도 제주시 연삼로 522,064-757-8275,마이크로칩. 전자태그,2020-04-28
동물병원,마리네 동물병원,제주특별자치도 제주시 애월읍 광상로 323-20,070-7721-0075,마이크로칩. 전자태그,2020-04-28
동물병원,삼화 우수한동물병원,제주특별자치도 제주시 건주로 65,064-702-2670,마이크로칩. 전자태그,2020-04-28
동물병원,나음 동물병원,제주특별자치도 제주시 연북로 18,064-747-7585,마이크로칩. 전자태그,2020-04-28
동물병원,24시똑똑똑동물메디컬센터,제주특별자치도 제주시 도령로 129,064-749-7585,마이크로칩. 전자태그,2020-04-28
동물병원,연신동물병원,제주특별자치도 제주시 연신로 263,064-723-6767,마이크로칩. 전자태그,2020-04-28
동물병원,춘수동물병원,제주특별자치도 제주시 서문로 31,064-721-0095,마이크로칩. 전자태그,2020-04-28
동물병원,라이프동물병원,제주특별자치도 제주시 노형3길 21-1,064-746-7579,마이크로칩. 전자태그,2020-04-28
동물병원,삼화훈동물병원,제주특별자치도 제주시 동화로 12,064-756-8275,마이크로칩. 전자태그,2020-04-28
동물병원,키움동물병원,제주특별자치도 제주시 중앙로 273,064-725-7579,마이크로칩. 전자태그,2020-04-28
동물병원,송동물병원,제주특별자치도 제주시 일주동로 185,064-759-8275,마이크로칩. 전자태그,2020-04-28
동물병원,이루다동물병원,제주특별자치도 제주시 건주로3길 19,064-725-1545,마이크로칩. 전자태그,2020-04-28
동물병원,한국금호동물병원,제주특별자치도 제주시 구좌읍 해맞이해안로 1076-1,064-783-5582,마이크로칩. 전자태그,2020-04-28
동물병원,강남동물병원,제주특별자치도 제주시 중앙로 106,064-723-2005,마이크로칩. 전자태그,2020-04-28
동물병원,한라동물의료센터,제주특별자치도 제주시 남광로 20,064-725-7577,마이크로칩. 전자태그,2020-04-28
동물판매업,요술강아지,제주특별자치도 제주시 월랑로 9,064-748-0779,전자태그,2020-04-28
동물보호단체,(사)제주동물친구들,제주특별자치도 제주시 동대길 2,064-713-1397,전자태그,2020-04-28
