1,(주)비앤비컴퍼니,대전광역시 유성구,제조업              ,비 및 솔 제조업,"마스카라,치간, 산업용, 특수목적용기계  "
2,(주)에스알팜,대전광역시 서구,도소매업            ,의약품 및 의료용품 소매업,의약품  
3,(주)알앤디웨어,대전광역시 유성구,제조업              ,"전자기 측정, 시험 및 분석기구 제조업",물성분석 시스템  
4,(주)아울네스트,대전광역시 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,소프트웨어  
5,(주)아이리스,대전광역시 유성구,제조업              ,방사선 장치 제조업,방사선 측정장치제조  
6,(주)리걸텍,대전광역시 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,법률데이터 가공서비스  
7,(주)대경이앤씨,대전광역시 유성구,"건설, 운수          ",일반전기 공사업,"전기, 정보통신공사  "
8,(주)선광패브릭,대전광역시 동구,제조업              ,침구 및 관련제품 제조업,침구류 원단류 
9,(주)칠성건설,대전광역시 유성구,"건설, 운수          ","교량, 터널 및 철도 건설업","교량, 터널   "
10,(주)쓰리디아이컨즈,대전광역시 서구,제조업              ,인형 및 장난감 제조업,3D 피규어  
11,(주)쓰리디아이,대전광역시 유성구,제조업              ,"유인 항공기, 항공우주선 및 보조장치 제조업",군용 시뮬레이터 전투체계 S/W 
12,(주)더에스,대전광역시 유성구,제조업              ,그 외 기타 전자부품 제조업,"VUECAM,3D스캔.출력,소프트웨어개발  "
13,(주)쓰리세컨즈,대전광역시 유성구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,자동차 한계주행 데이터 수집 및 분석 솔루션  
14,(주)쓰리샤인,대전광역시 유성구,제조업              ,그 외 기타 의료용 기기 제조업,실험동물사육장치 이화학실험기기 
15,(주)쓰리웨이소프트,대전광역시 유성구,"정보처리, S/W       ",기타 정보기술 및 컴퓨터운영 관련 서비스업,배전설비 3D 운영관리 시스템  
16,비제이엠텍(주),대전광역시 유성구,"건설, 운수          ",기타 옥외 시설물 축조 관련 전문공사업,시설물유지관리업 外  
17,(주)지에스더블유이엔지,대전광역시 유성구,제조업              ,절삭가공 및 유사처리업,반도체 장비 부품  
18,(주)포디믹스,대전광역시 유성구,제조업              ,합성수지 및 기타 플라스틱 물질 제조업,"3D설계, 3D프린팅 제품 등  "
19,(주)대덕이미지,대전 서구,제조업              ,기타 광학기기 제조업,"FPCB 외관검사 장비 전력시스템, 발전기, 발전설비  "
20,일성계전,대전광역시 대덕구,제조업              ,배전반 및 전기 자동제어반 제조업,"배전반, 분전반 태양광에너지 모듈 "
21,(주)유원플렛폼,대전광역시 유성구,제조업              ,합성수지 및 기타 플라스틱 물질 제조업,"폴리우레탄 소재, 촉매  "
22,(주)주영에스앤티,대전광역시 서구,제조업              ,구조용 금속 판제품 및 공작물 제조업,"디자인펜스, 차양, 가드레일 등 금속철구조물  "
23,(주)아카넷,대전광역시 서구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,(대학)통합정보시스템 개발 S/W 개발용역 
24,(주)수젠텍,대전광역시 유성구,제조업              ,그 외 기타 의료용 기기 제조업,"체외진단제품,원료,보조시약  "
25,에이스바이오텍(주),대전광역시 유성구,연구개발서비스      ,의학 및 약학 연구개발업,"Vitamin K2, Beta-glucan  "
26,(주)엑트,대전광역시 유성구,제조업              ,공기 조화장치 제조업,"클린룸, 항온항습기, 제습기  "
27,(주)액트,대전광역시 유성구,기타                ,기타 엔지니어링 서비스업,원자력 기술용역 및 계측 제어 RFID 시스템 
28,(주)에이알이,대전광역시 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,음향 솔루션  
29,애드모아,대전광역시 동구,기타                ,시각 디자인업,"산업디자인, 광고물작성  "
30,(주)에디스플레이,대전광역시 유성구,제조업              ,접착제 및 젤라틴 제조업,디스플레이용 접착제  
31,(주)에이디엠아이,대전광역시 유성구,"정보처리, S/W",기타 게임 소프트웨어 개발 및 공급업,게임 컨텐츠 개발  
32,(주)에드모텍,대전광역시 유성구,제조업              ,기타 무선 통신장비 제조업,HFC망 성능테스터 필터/듀플렉서 아이솔레이터
33,(주)손잡이닷컴,대전광역시 중구,도소매업            ,전자상거래 소매업,"DIY제품(가구용 각종 원판절단 제품, 손잡이 등)   "
34,(주)알파이엔지,대전광역시 유성구,기타                ,기타 엔지니어링 서비스업,기술컨설팅 기구설계 
35,(주)에이온엘에스,대전광역시 유성구,제조업              ,화장품 제조업,기능성 화장품 의약품 건강식품
36,(주)아이비스바이오,대전광역시 유성구,연구개발서비스      ,의학 및 약학 연구개발업,의약품 연구개발  
37,(주)에이직스,대전광역시 서구,"정보처리, S/W       ",컴퓨터 프로그래밍 서비스업,S/W 개발용역   
38,어질인소프트(주),대전광역시 서구,"정보처리, S/W       ",기타 정보기술 및 컴퓨터운영 관련 서비스업,국방전장체계 소프트웨어 공공기관 정보화 구축 
39,AHA산업,대전광역시 유성구,제조업              ,동력식 수지공구 제조업,면취기  
40,한국축산데이터(주식회사 농업회사법인),대전광역시 유성구,"농,어,임,광업       ",축산 관련 서비스업,가축헬스케어솔루션  
41,(주)에어포인트,대전광역시 유성구,제조업              ,방송장비 제조업,ETC-DSRC 모뎀칩 ICS 중계장치 
42,한국에어로(주),대전광역시 대덕구,제조업              ,기체 펌프 및 압축기 제조업,에어콤프레셔  
43,(주)에어웍스,대전광역시 동구,제조업              ,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",악취측정 장비  
44,에이아이시스템즈(주),대전광역시 유성구,제조업              ,"전자기 측정, 시험 및 분석기구 제조업",자동차 부품 분석기  
45,(주)아우디조명,대전광역시 대덕구,제조업              ,기타 조명장치 제조업,LED조명  
46,에이디(AD)산업,대전광역시 동구,제조업              ,그 외 기타 분류 안된 금속 가공 제품 제조업,세탁물건조대  
47,(주)올비티,대전광역시 유성구,연구개발서비스      ,"물리, 화학 및 생물학 연구개발업",유전체 분석연구  
48,(유한)알레스,대전광역시 중구,제조업              ,기체 펌프 및 압축기 제조업,스마트 터보 압축기 터보 블로워 
49,(주)올뉴시스템즈,대전광역시 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,"IoT무선통신시스템, S/W개발  "
50,(주)알테오젠,대전광역시 유성구,제조업              ,완제 의약품 제조업,바이오의약품  
51,(유한책임)암브로티아,대전광역시 유성구,제조업              ,생물학적 제제 제조업,세포 배양 배지  
52,(주)에이엠아이테크놀로지,대전광역시 유성구,제조업              ,방사선 장치 제조업,입자가속기(싸이클로트론) 방사성의약품 합성장치 
53,(주)아몬텍,대전광역시 동구,제조업              ,방송장비 제조업,CCTV 원격모니터링/제어시스템  비접촉 3차원측정기 
54,(주)아이안디자인,대전광역시 서구,제조업              ,놀이터용 장비 제조업,놀이시설물  
55,(주)아이피트,대전 유성구,기타                ,"기타 기술 시험, 검사 및 분석업",비파괴 측정장비를 이용한 배관 검사  
56,(주)에이엠시스템,대전광역시 유성구,기타                ,기타 엔지니어링 서비스업,항공기 수송기 설계 복합재 설계 
57,(주)에이엠에스 엔지니어링,대전광역시 유성구,제조업              ,부정형 내화 요업제품 제조업,내화보수모르타르 내진보강재 사면안정제 
58,(주)씨엔엘테라퓨틱스,대전광역시 서구,연구개발서비스      ,의학 및 약학 연구개발업,의약품   
59,(주)안지오랩,대전광역시 유성구,제조업              ,의약용 화합물 및 항생물질 제조업,"비만억제용 건강기능식품, 비만치료제  "
60,(주)와이바이오로직스,대전광역시 유성구,연구개발서비스      ,의학 및 약학 연구개발업,치료용 인간항체  
61,앤스코(주),대전광역시 유성구,기타                ,"기타 기술 시험, 검사 및 분석업","원전안전성검사(비파괴검사) 침투비파괴검사,자기비파괴검사 등  "
62,(주)에이오비,대전광역시 유성구,"정보처리, S/W       ",기타 정보기술 및 컴퓨터운영 관련 서비스업,모의항공 시뮬레이터 드론 지상통제장비 
63,(주)아평,대전광역시 중구,제조업              ,플라스틱 창호 제조업,창호  
64,(주)에이팩,대전광역시 유성구,제조업              ,전구 및 램프 제조업,LED조명 진공관형 태양열 집열기 프린터 히팅 로울러
65,에이피에너지(주),대전광역시 대덕구,제조업              ,기타 전기 변환장치 제조업,"태양광발전장치 태양광 온수,난방시스템 "
66,(주)지오아이티,대전광역시 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,S/W 개발 및 제작  
67,"(주)아라드네트웍스 (ARAD Networks Co., Ltd.)",대전광역시 중구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,IP 보안 플랫폼  
68,(주)아크에이르,대전광역시 유성구,제조업              ,의료용품 및 기타 의약 관련제품 제조업,원료의약품 및 의료기기  
69,(주)에이알씨엔에스,대전광역시 서구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,보안 솔루션 개발  
70,(주)아르고넷,대전 유성구,"정보처리, S/W",응용 소프트웨어 개발 및 공급업,연구학술정보 통합서비스 솔루션  
71,아리아코리아(주),대전광역시 중구,제조업              ,화장품 제조업,마스크팩  
72,(주)아림사이언스 (ARIM SCIENCE Inc.),대전광역시 유성구,연구개발서비스      ,"물리, 화학 및 생물학 연구개발업",실내외 공기질 측정장치  
73,(주)아록이엔지,대전광역시 서구,"건설, 운수          ",기타 토목시설물 건설업,비굴착 보수 및 준설  
74,(주)아록앤튜브,대전광역시 서구,제조업              ,"플라스틱 선, 봉, 관 및 호스 제조업",비굴착 상하수관 보수용 함침튜브  
75,(주)에이에스비,대전광역시 유성구,제조업              ,기타 반도체소자 제조업,"RF고주파 반도체 칩, RF고주파 반도체 모듈  "
76,(주)에이티,대전광역시 유성구,제조업              ,정형 내화 요업제품 제조업,"단열재, 경량블록  "
77,(주)아스카넷,대전광역시 유성구,"정보처리, S/W",시스템 소프트웨어 개발 및 공급업,맞춤형 통합시스템(SI) 서버랙등 제조 
78,(주)어라운딩,대전광역시 유성구,기타                ,광고 대행업,마케팅솔루션  
79,케이아이피 (KIP),대전광역시 유성구,제조업              ,화학 살균 살충제 및 농업용 약제 제조업,곤충 페로몬  
80,에이스틴(주),대전광역시 유성구,제조업              ,화장품 제조업,화장품 원료제조  
